track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Boybandin' Up,https://open.spotify.com/track/0Pm13I33VNHSxohiihrGq3,Boybandin' Up,https://open.spotify.com/album/6WoGGaVsbHEn9gepZLlmfA,Sunrise Skater Kids,https://open.spotify.com/artist/5iJsReQNQzuHVkLLXUpRCy,2022-12-14,248478,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Breakdown,https://open.spotify.com/track/6fm1wV6DlN5d7C3UC5hdOX,Truth Decay,https://open.spotify.com/album/4lXFVUD20Jim7r4U1sBY3D,You Me At Six,https://open.spotify.com/artist/1kNQXvepPjaPgUfeDAF2h6,2023-02-20,189560,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Breathe,https://open.spotify.com/track/7844tBJNLnI8wIdebVfzIb,"Life Among Machines, Pt. 1",https://open.spotify.com/album/6IsNrEJGi1CmHxp6HsVwGB,Animal Sun,https://open.spotify.com/artist/0OnT3pRDWGcgcz1iYv0OnV,2023-07-24,224218,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Breathing,https://open.spotify.com/track/1HkOpqQDHMorS6LKl3qIPp,Breathing,https://open.spotify.com/album/6bO8Aa7MD8XUQTm4WcH59U,"Magnolia Park, nothing,nowhere.","https://open.spotify.com/artist/7B76SsfzG0wWk1WEvGzCmY, https://open.spotify.com/artist/7FngGIEGgN3Iwauw1MvO4P",2023-07-24,184292,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Brighter Horizon,https://open.spotify.com/track/5GQX1ozdCC6b3p9zce5Ez5,Strange Pilgrim,https://open.spotify.com/album/3NczuXOthJY5wf4tHG7lmC,"Strange Pilgrim, Kelly McFarling","https://open.spotify.com/artist/2xziho5EZamcmW4DBJ2c1P, https://open.spotify.com/artist/7dBCtHnpE9LRrRftcPRbJr",2022-08-23,270173,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
British Hell,https://open.spotify.com/track/5ziixlmdBzMu5Yv0ioCfi5,The Theory Of Whatever,https://open.spotify.com/album/5kyMgf8ogldA8iLY9ppyAV,Jamie T,https://open.spotify.com/artist/3Rsr4Z96O6U3lToOiV3zBh,2022-07-25,131706,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
broken cd,https://open.spotify.com/track/77cuLtsUljaHBNpG89GpqE,Beatopia,https://open.spotify.com/album/2rhNQbqRNxiNQkDXTffe1V,beabadoobee,https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB,2022-07-25,170280,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Bruises,https://open.spotify.com/track/4YKwOhGQuUTqJx2REqPW89,is this what i look like?,https://open.spotify.com/album/4u11pDt06OqbpvUoauvrSH,"Yours Truly, DR€W ¥ORK","https://open.spotify.com/artist/76NpRNEWMaNdOudixwOPRo, https://open.spotify.com/artist/4E7k7fQ89SmXCLHHvpMNHu",2022-07-25,190574,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Burning,https://open.spotify.com/track/07IAGsfYqS8sZSECzK1hZK,Burning,https://open.spotify.com/album/71Dk5SUWHmMrRnfPwYRnGB,Yeah Yeah Yeahs,https://open.spotify.com/artist/3TNt4aUIxgfy9aoaft5Jj2,2022-08-23,245120,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Burnt Bitter,https://open.spotify.com/track/18qWCvUh2FIDeO3QlnQcqP,Burnt Bitter,https://open.spotify.com/album/7sYlsycygsz86QT3Vv4fVR,Honey Creek,https://open.spotify.com/artist/7eq9C5AmO3MfarSLH31FlH,2023-05-24,193971,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Call It Off,https://open.spotify.com/track/35xITELUHCuOOzUX3bXEND,Call It Off,https://open.spotify.com/album/4nS9KnH6MgmpP8gUaNEXsX,Koyo,https://open.spotify.com/artist/4np3dM8CSvjKhToa0Epfs9,2022-08-08,218109,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Cardinals II,https://open.spotify.com/track/4GzijF0u1bwnSsAhubiShn,The Hum Goes on Forever,https://open.spotify.com/album/0g2D3Epl3VzLbvtVeQhJQv,The Wonder Years,https://open.spotify.com/artist/0nq64XZMWV1s7XHXIkdH7K,2022-10-19,252777,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Castles,https://open.spotify.com/track/3NOKNiMTcHkRuWNn4OKXti,Castles,https://open.spotify.com/album/0BaIBNGSGKK0Ojp28XdRiT,Autumn Kings,https://open.spotify.com/artist/7BYLAgXd3LygQ9aJupZ6p8,2022-08-08,102278,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Catapult,https://open.spotify.com/track/4GCM1wgzT18l9CnMfdL9xu,Patina,https://open.spotify.com/album/0IYt9ErByumJNI6ACkZvLb,Tallies,https://open.spotify.com/artist/0TqfIpfq65gBiU4m7BCe0O,2022-08-08,218502,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
