track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Looking For More,https://open.spotify.com/track/7us5o6uXfSSmiedZSoKkR6,Looking For More,https://open.spotify.com/album/3j32wZ0pudc0BLviHDVpi3,Koven,https://open.spotify.com/artist/3UCbp6D1lvILlxRJT9LnFa,2022-02-03,244000,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Losing,https://open.spotify.com/track/5fXAhP6h0oEd4vkQ93c0hi,Losing,https://open.spotify.com/album/0DBKauq7473ZXa49DN6Mad,"jeonghyeon, Arya","https://open.spotify.com/artist/6sxcddx1xFwv0MblwbXNVq, https://open.spotify.com/artist/5O2s6fRMqbwIKGB9QrFrBQ",2022-12-08,161904,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Losing Control,https://open.spotify.com/track/59MBMXDvlThWnca5GBF9eb,Losing Control,https://open.spotify.com/album/1wRvdWcrY3vALldt5ZZ8xE,"JPB, Mendum, Marvin Divine","https://open.spotify.com/artist/0t5H8FcoVPzn4sVeNxibMU, https://open.spotify.com/artist/3rq78lkE1laoELdsHHirtg, https://open.spotify.com/artist/2ipbBHbU59PKSeDXAgMpkd",2022-02-03,187354,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Lost Without You,https://open.spotify.com/track/229ZrydmFXZ22CkZTJx8Wn,Lost Without You,https://open.spotify.com/album/6QTpinuLRrO0P9cV8ZJCSx,"Millbrook, Felix Samuel","https://open.spotify.com/artist/5yd0a8BOCNke9EhV2ynQOm, https://open.spotify.com/artist/2FMdAViOScZVhMjAunoYNK",2022-03-24,224003,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Love Me,https://open.spotify.com/track/13b1CS1bUJOJD9HanXSs3c,Love Me,https://open.spotify.com/album/0yEscGCEQmz8G7GGyySaz5,"Sam Ourt, FERGO","https://open.spotify.com/artist/5I3AwOX9Fr2gEG6SKmltH6, https://open.spotify.com/artist/2vlOppSBEJkAVos6JTshXF",2022-02-03,132107,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Luna - Mendum Remix,https://open.spotify.com/track/6ubM8S8Dn9vT5Xq1DVROnS,Luna (Mendum Remix),https://open.spotify.com/album/50H2keG7LNU0oSNsBuiXem,"Abandoned, GalaxyTones, Mendum, DNAKM","https://open.spotify.com/artist/1qs72LBhNBAQGwxFAnlo0x, https://open.spotify.com/artist/49Ue58UGhN03frcpvJsHnH, https://open.spotify.com/artist/3rq78lkE1laoELdsHHirtg, https://open.spotify.com/artist/20N95on2Bu0e3AZyiEUMz1",2022-02-04,205718,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Lush,https://open.spotify.com/track/0g82uyFC1x6a4nGuETAHvG,Lush,https://open.spotify.com/album/2C1OgIBCi0xGFCQE6olvDV,"Au5, Last Heroes, Holly Drummond","https://open.spotify.com/artist/40WIa01eubnEVkxUHeDZyF, https://open.spotify.com/artist/3HHfEn7yPOy3IiHS6CHG97, https://open.spotify.com/artist/24O8Ftz6AqboC3Uawbiw4r",2023-08-10,240000,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Magnetic,https://open.spotify.com/track/6uH5jMuZ5F4Uh5cS2QilLw,Magnetic,https://open.spotify.com/album/0kReeQiJA0nlejIOX6TfkE,springs!,https://open.spotify.com/artist/7BFXtdXfpw2kj0kAOs73cn,2024-10-08,123437,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Make A Stand,https://open.spotify.com/track/1uYQSc053Vkv9nxXolZOMI,Make A Stand,https://open.spotify.com/album/71BwjzdvWoTFI3bzsBurgn,"Speo, Budobo","https://open.spotify.com/artist/0rMH177vw5TAY2Gd1uLLgY, https://open.spotify.com/artist/219RPqgRToldOe7KMX4atX",2023-08-10,252000,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Make Waves,https://open.spotify.com/track/3gzZPhXOL166nTTaEwqI4c,Make Waves,https://open.spotify.com/album/60aJkIg8ZAtPDMBbvrqAfM,"ReauBeau, Brynja Mary","https://open.spotify.com/artist/5fKpGPlcEvjFMDDWDKniND, https://open.spotify.com/artist/0WuACeytMF6zC8L8prNB0y",2023-02-16,189137,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
