track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Crying In A Desert,https://open.spotify.com/track/2u2xhDHk7TaDwafRrLB4Vv,Crying In A Desert,https://open.spotify.com/album/2L70eq6uXgyyTBeS36NzSj,Harlem Lake,https://open.spotify.com/artist/5DCvu1KlUOL7u20WGhbRBc,2024-07-11,282837,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Dancing In The Dark,https://open.spotify.com/track/1mPXB7fe2vK1dJxMbSZuDP,Dancing In The Dark,https://open.spotify.com/album/4QUzb6iiFjr2K0NTqCIZTV,"Tim Akkerman, The Ivy League","https://open.spotify.com/artist/1mdYzJv7Z90aiNlfBvoI9u, https://open.spotify.com/artist/3sEDJcE3V0YjnmaxIQP5qO",2023-12-01,208082,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Daydreaming,https://open.spotify.com/track/0VgbGEB8mqMdsWVh5ibThm,Daydreaming,https://open.spotify.com/album/1xMJyzfii5msqJLejy336Z,Calicos,https://open.spotify.com/artist/2uLnbJ7DFXc382YXWyLyNr,2025-01-23,205766,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Dead End Street,https://open.spotify.com/track/2uu9JRbYg9IyjTvQoxG8zG,Safe in the Suburbs,https://open.spotify.com/album/3OdmbPibKSXzidDbgvRsPi,Femke,https://open.spotify.com/artist/5XEOJI2noMNu9v6f30cQ4w,2023-09-22,178163,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Desert Bride,https://open.spotify.com/track/2ZEjpmYFQmKnkIcy5oChgW,Desert Bride,https://open.spotify.com/album/36j7voqMKyHKDaKIIqVfWW,VanWyck,https://open.spotify.com/artist/113MK4jDLZQiDOe1r18Qdb,2024-07-04,255953,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Desire,https://open.spotify.com/track/5vuOY89Toj7pBC2YhLG8rX,Desire,https://open.spotify.com/album/351qO6P8FcABXFsYPUfdDf,Mattanja Joy Bradley,https://open.spotify.com/artist/6u9tyg6IXImKbuB5J12ush,2023-02-23,298591,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
DNA,https://open.spotify.com/track/5K10PzXx9DEmFuqXKIcp4t,DNA,https://open.spotify.com/album/1zOm18cLXjrqjrYuHRUTBY,Danny Vera,https://open.spotify.com/artist/1bObiFZkYu7IfzxVlAVj5x,2023-09-07,194474,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Dreamer,https://open.spotify.com/track/4YQubPuAYJpL7oXYCDvw0L,Dreamer,https://open.spotify.com/album/1GKEaevMrPeFx6EbUkw9Sg,Niels Geusebroek,https://open.spotify.com/artist/7D22FhEGzT4jxbjWryB63l,2023-02-23,173840,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Driving Like A Dream Car Should,https://open.spotify.com/track/5yeaDXxrodUEbYGxfDXZej,Driving Like A Dream Car Should,https://open.spotify.com/album/0PUtR0ic8SMHYtj6CF77cQ,Deborah Parlor,https://open.spotify.com/artist/47nKN1WACRUyzwrDzQx7Jl,2023-04-27,187355,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Drowning in the Dark,https://open.spotify.com/track/2AAm5EYrQt2i7VUNgkGFIl,Drowning in the Dark,https://open.spotify.com/album/393liDotKoRriPUxGDsvb2,Leanne Serena,https://open.spotify.com/artist/2rYx1os7rYtwAHinxxtPuW,2024-08-29,215624,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Easy,https://open.spotify.com/track/3xNaJRo1hQzk8PiwfiHdZm,Easy,https://open.spotify.com/album/10CEYxX8uDXJHef6ANwnlF,Calicos,https://open.spotify.com/artist/2uLnbJ7DFXc382YXWyLyNr,2024-07-04,196872,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Even The Bad Ends Badly,https://open.spotify.com/track/1yoAJ7RJOf0j02C8Wi3H37,Bluefinger,https://open.spotify.com/album/7kyAYsfjmUrGMqPzWf84M1,"Bertolf, Tim Knol","https://open.spotify.com/artist/6cs3EabebGIu559XRIpQty, https://open.spotify.com/artist/5iwR7L3O96vO8rVXXuLf5K",2023-09-07,202906,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Eyes On The Road,https://open.spotify.com/track/3EMW8uImDU4SfrtNMleX7v,Eyes On The Road,https://open.spotify.com/album/59ZMGrtibbHBmCM1QnFhue,Marcel Kapteijn,https://open.spotify.com/artist/6VTUhYONG3oqq10TWNLswp,2023-04-27,190568,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Factory,https://open.spotify.com/track/0P9JBppEaWN9m6yLW0wCBe,Factory,https://open.spotify.com/album/5qyjhFDGMggOa3rP493M7u,Pieternel,https://open.spotify.com/artist/5JzvmJdkliw2nERmKleDuS,2023-08-17,200854,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Fast Car,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT,Gettin' Old,https://open.spotify.com/album/5Uly85dJHHDfHQCsyUQ8gw,Luke Combs,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,2023-09-01,265493,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Feel Alright,https://open.spotify.com/track/7fF6Af2M3vL4IUtE8cMy6G,I Feel Alright,https://open.spotify.com/album/1CEAVKLVVaCoKyEoVVr8Bh,Steve Earle,https://open.spotify.com/artist/2UBTfUoLI07iRqGeUrwhZh,2023-02-23,176346,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Feel Like Going Home (feat. The Southern Aces & Jw Roy),https://open.spotify.com/track/5vJxxRPswssA0WWHzd1g6s,Life Will Humble You,https://open.spotify.com/album/4RhJ3rxqGdeYwyOy2GLQdZ,"Malford Milligan, The Southern Aces, JW Roy","https://open.spotify.com/artist/2QJLuDh3Dcw0RrNMusUMHz, https://open.spotify.com/artist/3mwhEzwbXlTrbVojkG9LVI, https://open.spotify.com/artist/3i31y6LSpJEgV5ny8fw66d",2023-04-27,288578,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
First Round's On Me,https://open.spotify.com/track/1wlyN4XbTIQGc5m4m2itSP,First Round's On Me,https://open.spotify.com/album/5NV6aYPbb3rwxBg0isBUy8,Boaz,https://open.spotify.com/artist/0ytyS944Vjixf9O0omhpyd,2024-06-13,236574,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Flowers in the Fields,https://open.spotify.com/track/5FLPIPTV1R8g4gcQEcFcGB,Flowers in the Fields,https://open.spotify.com/album/0PRGDUzgoxuwujJqD57qLB,VanWyck,https://open.spotify.com/artist/113MK4jDLZQiDOe1r18Qdb,2024-08-01,186280,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
For The Better Of Me,https://open.spotify.com/track/4p1auAjWQJyV3cLJ7pqmpZ,For The Better Of Me,https://open.spotify.com/album/7kl4zINXzUgsaYpPNj61Jg,Yentl,https://open.spotify.com/artist/6M2IE7XTPYn2pzfhpnDyWE,2023-03-30,230431,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Forever a Prisoner,https://open.spotify.com/track/5UEffWajlacLxVJd2jODNX,Forever a Prisoner,https://open.spotify.com/album/489krjRSaaFyODbOscNedG,"Them Dirty Dimes, VanWyck","https://open.spotify.com/artist/5ALoTX7C68nChnuiz2loRP, https://open.spotify.com/artist/113MK4jDLZQiDOe1r18Qdb",2023-08-31,199938,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Frozen In Time,https://open.spotify.com/track/7qoc1IZ1k6FXlF5KrPqAXe,Frozen In Time,https://open.spotify.com/album/2Xd0nXYllq7usaXQ99UXlA,Mell & Vintage Future,https://open.spotify.com/artist/0gP5wSp6he2gUcPa5gunV8,2023-10-05,178948,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Fruits Of My Labor,https://open.spotify.com/track/3Un8AiGf6AmPY5YGzdrzJP,Fruits Of My Labor,https://open.spotify.com/album/5f8FA5nXO3K4idqU1mAFuO,Amos Lee,https://open.spotify.com/artist/0QrowybipCKUDnq5y10PD2,2023-11-02,216666,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Going Home,https://open.spotify.com/track/79Y9I1GYMaNEfVwEDmWh28,Dangers Mood,https://open.spotify.com/album/2vwbTmsYqcMqePxrfPRV4z,"Robbert Duijf, Maud Knubben","https://open.spotify.com/artist/479RX3LATApuM30lH2cemD, https://open.spotify.com/artist/109tzSrdsNx4IQJvJBTRXV",2023-04-27,192640,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Gold Dust Woman,https://open.spotify.com/track/1FH9iCgUtZXnwodYzahivh,Gold Dust Woman,https://open.spotify.com/album/1jvxRIDR1nCdEw13R9Pv0S,"Warren Haynes, Jim James, Grace Potter","https://open.spotify.com/artist/73iWh9WUMf0xK6cRkNJK4h, https://open.spotify.com/artist/1MhtYlJvUqfd2EgHSQTGK4, https://open.spotify.com/artist/1PJVVIeS5Wu0wbZDhtC0Ht",2023-12-01,180466,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Gone Forever,https://open.spotify.com/track/0tRQcoSBhl4GUjc2EKs9UG,Gone Forever,https://open.spotify.com/album/5XKSg6lZFs45iry4wkRqvq,INA ROSE,https://open.spotify.com/artist/19ehJM5qKnIvJ1KXOnKddA,2024-09-26,207154,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Gonna Shine,https://open.spotify.com/track/5DmCE0x0NldbgmjClh3qRW,Gonna Shine,https://open.spotify.com/album/56d6RiEgQQBFlkuEx6lmAi,The Georgia Thunderbolts,https://open.spotify.com/artist/0sukMbleG21A52WNk4O81d,2023-09-14,241906,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Good Horses (feat. Miranda Lambert),https://open.spotify.com/track/2Y55wplSMT3ltQQOPvMC75,Good Horses (feat. Miranda Lambert),https://open.spotify.com/album/51LSHfJxKu0e6V9N8TcdEG,"Lainey Wilson, Miranda Lambert","https://open.spotify.com/artist/6tPHARSq45lQ8BSALCfkFC, https://open.spotify.com/artist/66lH4jAE7pqPlOlzUKbwA0",2024-08-01,237773,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Gorgeous,https://open.spotify.com/track/1gZoMw9jMH7MfbeRhFcOli,Gorgeous,https://open.spotify.com/album/7iwSy6qIzLQ3aTpkjcTJrF,Kane Brown,https://open.spotify.com/artist/3oSJ7TBVCWMDMiYjXNiCKE,2025-01-16,185773,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Gravel Road,https://open.spotify.com/track/078aq6YFLnlMAK6yqst82A,Wandering Soul,https://open.spotify.com/album/6OPr5drQs4sdE8IgAK4vEv,Marcel Kapteijn,https://open.spotify.com/artist/6VTUhYONG3oqq10TWNLswp,2023-06-01,152590,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
