track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
chalice,https://open.spotify.com/track/0aoI3GEPeQweHe7HlG8TTl,(HOLOFOIL) halloween curse spell etsy 666 SPECIALIST'S CHOICE EXXXTREME POWER,https://open.spotify.com/album/6gwn9fRrWScWjhbKPgj2wY,lydia portrait,https://open.spotify.com/artist/50vBx8BhanN5vGMZVgXh0F,2024-12-10,125035,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
CHALLENGER,https://open.spotify.com/track/2YHJuaDbBXc48MAfPiw4Ph,CHALLENGER,https://open.spotify.com/album/0oBs2M9fgZqlURAQugbijz,wolfears,https://open.spotify.com/artist/0KH2J9H1plokYrluA5UJRi,2025-01-17,193585,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
choke it out!,https://open.spotify.com/track/3632pCJ3FvPPEguHYkcvKn,choke it out!,https://open.spotify.com/album/224eFGHoBYq2E7AGruKc1u,salv the dog,https://open.spotify.com/artist/2RF0Qc90gHipSs8XWeGyTb,2024-12-10,110666,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Circuit Bent,https://open.spotify.com/track/314vr3XssUuliX2QAb5GvY,Circuit Bent,https://open.spotify.com/album/6T2tskWsZCC8KK5np7e5mK,STOMACH BOOK,https://open.spotify.com/artist/079cEjjSpv5dOLH5xsGdvN,2024-10-10,235656,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Colorblind,https://open.spotify.com/track/77KJzN42xWRix9N3LQOLrA,Colorblind,https://open.spotify.com/album/4lOxLrNMNxAnbusLkDJwMi,Shïbae,https://open.spotify.com/artist/687jABLqMnxvaLEdUiRl6d,2024-04-19,179616,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
CUDDLY,https://open.spotify.com/track/5oZ9avBrfVtNmYQCkhGgPQ,FURFAG,https://open.spotify.com/album/6LyPH9oyTnCrTQHwhedPF0,Pent Up Pup,https://open.spotify.com/artist/1fz75r8SBh1ILfSL21UFuy,2025-02-28,111692,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Daily,https://open.spotify.com/track/0GEWuY45tW39x9HrkDh39O,Catastrophe,https://open.spotify.com/album/4BTVGr9BU83d1mObIvbaRw,EJECTDISK,https://open.spotify.com/artist/2IlshD0SdZs0HJppuv2YrO,2024-11-16,147649,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Dead internet theory,https://open.spotify.com/track/0rnm3k4dDHWwlN8WNLCekV,Dead internet theory,https://open.spotify.com/album/6PfRGxxjZZ6RKcDqatGUyQ,delle,https://open.spotify.com/artist/7BE9ycKGxDTdID7BN4oPcF,2024-08-01,150394,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
diaries of a small town,https://open.spotify.com/track/6maCQUoO6Ld9GwK1fN0NYQ,diaries of a small town,https://open.spotify.com/album/1VQNdZ6m27lRsuPXJyiwX7,RUDEDOG,https://open.spotify.com/artist/67Mz6SeKa3JJo65q9zGK2P,2024-11-12,243182,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Dog Ears,https://open.spotify.com/track/0e6I94eva07huDA7Fplb01,Keychain,https://open.spotify.com/album/0YTa3pfGMUMjqtlfC3tp8I,scuttlefuzz,https://open.spotify.com/artist/4ll5RlLT3paku0bQDJCqlu,2024-08-09,204426,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
