track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Break For You,https://open.spotify.com/track/3Y37BUtMctTp22i1LC1sE7,Break For You,https://open.spotify.com/album/6mRtETwPNimVfkeyKOMzBH,Valley,https://open.spotify.com/artist/7blXVKBSxdFZsIqlhdViKc,2023-12-01,154885,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
breaking news,https://open.spotify.com/track/654XTpkoachnc4HT2Fi3Fn,breaking news,https://open.spotify.com/album/32pkmWSgB4V9UTJnqIzPp7,flowerovlove,https://open.spotify.com/artist/1JspXUvEv3D9ddMeLNqYWj,2024-10-15,161075,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Brown Man,https://open.spotify.com/track/5cJyYDtFcRrGWUHDx8FHlv,Brown Man,https://open.spotify.com/album/2tnaYm67AnMon2NL2M1Y1O,Sebastian Gaskin,https://open.spotify.com/artist/1wDv2K6zsBFPYoFregJ4Za,2024-09-29,192929,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Bud Light The Way,https://open.spotify.com/track/2Hg4pSdvKX11F0qzrylTYE,Bud Light The Way,https://open.spotify.com/album/34TtHMONcD2b1p4HM2hPN0,Owen Riegling,https://open.spotify.com/artist/0FDlMMfT3tLEKM0QdEIHYu,2024-04-07,190359,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
bulletproof,https://open.spotify.com/track/4V2bBjCOgiOSNtgrTZL0og,bulletproof,https://open.spotify.com/album/1hCiqZ2uyJT5fWd4pxWwx0,Jamie Fine,https://open.spotify.com/artist/4uwJ3NRArTb8VlKbuAFyFG,2023-12-01,182400,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Busy Woman,https://open.spotify.com/track/0b0Dz0Gi86SVdBxYeiQcCP,Short n' Sweet (Deluxe),https://open.spotify.com/album/3WzBIQmn2hrulLeTY9smkk,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2025-02-17,186612,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Call Me When You Break Up (with Gracie Abrams),https://open.spotify.com/track/4yFPKNzjkCS0PpRzhcvy1d,Call Me When You Break Up (with Gracie Abrams),https://open.spotify.com/album/4hnX5vXj6JoAhZ2lUrxwn3,"Selena Gomez, benny blanco, Gracie Abrams","https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx, https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa, https://open.spotify.com/artist/4tuJ0bMpJh08umKkEXKUI5",2025-02-23,126831,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Calm Down (with Selena Gomez),https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),https://open.spotify.com/album/2b2GHWESCWEuHiCZ2Skedp,"Rema, Selena Gomez","https://open.spotify.com/artist/46pWGuE3dSwY3bMMXGBvVS, https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx",2023-12-01,239317,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,https://open.spotify.com/track/17cia5k4BpGVlyEfqrFH50,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),https://open.spotify.com/album/2yHTMVFGHODKJOjVL1hLgk,Olivia Rodrigo,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,2024-02-23,205483,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Chemical,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu,Chemical,https://open.spotify.com/album/7qcSUc5Af63mhfTF60KTEA,Post Malone,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,2023-12-01,184013,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
