track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",https://open.spotify.com/track/2ZWmmrWUgDBcPSLihBMvhg,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",https://open.spotify.com/album/2xV74PLdZg5gwA65xGF8cF,"Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura","https://open.spotify.com/artist/3jNkaOXasoc7RsxdchvEVq, https://open.spotify.com/artist/35dxfY1wywqVRUEaVuMm13, https://open.spotify.com/artist/07CimrZi5vs9iEao47TNQ4, https://open.spotify.com/artist/17fY0VRyqRgmqI3dHlE1UU, https://open.spotify.com/artist/4LqFJ98PEA7gIrRtviMUmb, https://open.spotify.com/artist/4n81jTX3LJ7zxNr6Ss8PkQ",2023-12-11,177291,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Beckham,https://open.spotify.com/track/60lAoxcyDvRbcNY82VEoEA,Beckham,https://open.spotify.com/album/1GNQ8Lr4qLa6XTTm7Xuwgw,"Dee Billz, Kyle Richh, Kai Swervo, KJ Swervo, 41","https://open.spotify.com/artist/2fBU7rOViK7ywwHCIYEa7h, https://open.spotify.com/artist/0hF6lbAjRsq4svrQUr5sgU, https://open.spotify.com/artist/1frmN1C7BmO6wKo7iQhar2, https://open.spotify.com/artist/3VzzWMyEQci155HpLwKVZc, https://open.spotify.com/artist/0yknvLWQZxwsMjhUhwWZQ8",2024-07-19,124931,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Big (feat. Big Freedia),https://open.spotify.com/track/4fbSwwrXriIxAWOLWCu4to,Red Balloon,https://open.spotify.com/album/3W6zrS9uUbsDtX26ZzsHvE,"Tank and The Bangas, Big Freedia","https://open.spotify.com/artist/5cAtakaadWHJLxmGKrKcX7, https://open.spotify.com/artist/2gyv1akuIB9fQvXoGSPaJr",2023-12-11,101297,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Big Dawgs,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW,Big Dawgs,https://open.spotify.com/album/6Yw4204wbgmpsGTzjXBhYD,"Hanumankind, Kalmi","https://open.spotify.com/artist/4nVa6XlBFlIkF6msW57PHp, https://open.spotify.com/artist/6tYCSHLtTI54AQJFOMfU45",2024-08-09,190666,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Blessed - Maliboux Remix,https://open.spotify.com/track/5hb3WmB7mSQoJCxe1PjWak,Blessed More Blessed (Dance Remixes),https://open.spotify.com/album/2oD8fM25zVCNzNHdeICq5W,"Buju Banton, Maliboux","https://open.spotify.com/artist/4wLAjfeqAsV66AocWNcowA, https://open.spotify.com/artist/157IWDnr2hC9SFL5OJF8j7",2022-06-09,157440,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Blick Blick (with Nicki Minaj),https://open.spotify.com/track/7LczcBaamU9pTkV4Cl9NyX,Blick Blick,https://open.spotify.com/album/0UiZQvEgPpnPV6fuvmWTKf,"Coi Leray, Nicki Minaj","https://open.spotify.com/artist/6AMd49uBDJfhf30Ak2QR5s, https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",2022-06-09,178413,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
BLOOD SWEAT & TEARS,https://open.spotify.com/track/2sGHNzT76rKbSmAGs8ENH2,CRUNKSTAR,https://open.spotify.com/album/6DRGmsZ3SeLptqU9aFEUQV,Duke Deuce,https://open.spotify.com/artist/24zj84GShUIcBQYq6VpOYW,2022-06-20,162954,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Blow,https://open.spotify.com/track/2g3qKijfeHfDyM7Fmaoi5M,Blow,https://open.spotify.com/album/07AiRVrtrniKqkxHpLLY2g,Moneybagg Yo,https://open.spotify.com/artist/3tJoFztHeIJkJWMrx0td2f,2022-10-03,182533,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Blow the Whistle,https://open.spotify.com/track/2lMg3lCMOGistaWBNGjuT3,Blow The Whistle,https://open.spotify.com/album/5GiqXho2S6vfntgRwSdhYp,Too $hort,https://open.spotify.com/artist/4sb7rZNN93BSS6Gqgepo4v,2025-02-13,163133,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Bluffin (feat. Lil Baby),https://open.spotify.com/track/1hS8xbWKEifaf0VuFpIY69,Bluffin (feat. Lil Baby),https://open.spotify.com/album/4L4Vv3wpLhLmMTg313h2zP,"Gucci Mane, Lil Baby","https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo, https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK",2023-12-11,148302,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
