track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#1 Freak (feat. Ty Dolla $ign),https://open.spotify.com/track/0tgAhrvNPhSyMZR0wWbv6Z,Feed Tha Streets III,https://open.spotify.com/album/2ZiBfBw770CJC0f4SI1Tji,"Roddy Ricch, Ty Dolla $ign","https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB, https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq",2022-11-18,169005,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
At The Cross,https://open.spotify.com/track/1Yz0yVYQU2ytmXyS2uWWrm,Kutthroat Bill: Vol. 1,https://open.spotify.com/album/3QA68hsAUFPxoys8NGNtjs,Kodak Black,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,2022-10-28,150857,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),https://open.spotify.com/track/0KFXE2mLTFdOKkTZEDgJPv,Attitude (feat. Charlie Wilson & Cash Cobain),https://open.spotify.com/album/5qT2WTrg8b062akPjO9AGY,"Don Toliver, Charlie Wilson, Cash Cobain","https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs, https://open.spotify.com/artist/6CxZzQFUTM6AzgluGwtq5w, https://open.spotify.com/artist/2R0CFyeMDiRbfkhkIMbyl1",2024-06-24,161053,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
B&R (feat. BigWalkDog),https://open.spotify.com/track/3LXWUXFiy0hJEZfVbEjxir,B&R (feat. BigWalkDog),https://open.spotify.com/album/5WsoZswzRzcqcwzKEqmsSS,"Hotboy Wes, BigWalkDog","https://open.spotify.com/artist/2Lgyk37aJufoDDSoU4S5nO, https://open.spotify.com/artist/5RivQkx7CAT7TSVFJKvbDz",2023-04-10,184104,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Baby again..,https://open.spotify.com/track/4zlbKky2yA657Sk5rekZoR,Baby again..,https://open.spotify.com/album/7J7redEXgOUEsUBXukhkUF,"Fred again.., Skrillex, Four Tet","https://open.spotify.com/artist/4oLeXFyACqeem2VImYeBFe, https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX, https://open.spotify.com/artist/7Eu1txygG6nJttLHbZdQOh",2023-04-10,319963,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Back 2 Back (feat. CEO Trayle),https://open.spotify.com/track/3Lr9J0UuPrnTVlmA5wosqi,Back 2 Back (feat. CEO Trayle),https://open.spotify.com/album/77QuhYQbJy5g4OAZv7Ebsc,"Sonny Digital, CEO Trayle","https://open.spotify.com/artist/655963AgkTZeYUvCyodCIL, https://open.spotify.com/artist/6RuutbNl5ny8LAf1uSK3fS",2022-08-19,175716,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Backstreet,https://open.spotify.com/track/6ylKBg4y2MCUzfFgB67Mhf,Backstreet,https://open.spotify.com/album/3vn01uaPU9ZhXxP45X9uCZ,Kateel,https://open.spotify.com/artist/4egOVLqYZVVI4gwzMAcRlT,2022-07-15,169405,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
bad 4 me,https://open.spotify.com/track/4oFx6ltGVdlf4Hm9mDovhA,age tape 0,https://open.spotify.com/album/3wNkf6SHSN19bVxWCNC3Lu,Arden Jones,https://open.spotify.com/artist/3mMogqf2JyBUQZxFZlC79w,2022-11-04,190874,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Bad Bitch,https://open.spotify.com/track/73xrEvZAv5p4AalSpYSYgP,Bad Bitch,https://open.spotify.com/album/47sdHvCWzCbtMZtRMirlfb,Luh Tyler,https://open.spotify.com/artist/1K15GRZZATsCJyGJ4bYiEz,2024-03-05,114524,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Bad Man (feat. Prince Swanny),https://open.spotify.com/track/5AseTVOfEofHsvXRt12DIt,Kutthroat Bill: Vol. 1,https://open.spotify.com/album/3QA68hsAUFPxoys8NGNtjs,"Kodak Black, Prince Swanny","https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7, https://open.spotify.com/artist/2Jv0w50BNaGlwnXpq69HGm",2022-10-28,138666,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Bag Of You,https://open.spotify.com/track/3X7aFBB2ja4QT2XEuxKCIA,Bag Of You,https://open.spotify.com/album/4J2ZnI41Z9yElyzM2TzBrM,Mahalia,https://open.spotify.com/artist/16rCzZOMQX7P8Kmn5YKexI,2022-11-11,197427,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
