track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Born With a Broken Heart,https://open.spotify.com/track/2z9FUHRkbkV4BObNzbHsFU,Born With a Broken Heart,https://open.spotify.com/album/2QNTqojFg0R17Jn2gj9Yqm,Damiano David,https://open.spotify.com/artist/7AaGbSgUxJFuZ49VvclNH6,2025-02-17,208956,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
By Your Side (In My Mind),https://open.spotify.com/track/0pSwhT654HC2knBvjn5f89,By Your Side (In My Mind),https://open.spotify.com/album/2WN1hoD8UtrSHItI9QO5Qy,Leony,https://open.spotify.com/artist/2NpPlwwDVYR5dIj0F31EcC,2025-02-24,177148,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Cada Tren,https://open.spotify.com/track/2bSli26Z7XgEC5QQqOl2nB,Cada Tren,https://open.spotify.com/album/67QD150Sgbh0Z2qG6HQvtH,Flashy Ice Cream,https://open.spotify.com/artist/24yN33FZM27S4x4EJCFsjR,2024-02-18,203639,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Casanova,https://open.spotify.com/track/0qZhK4gFB5c1Wxsnd6WA8U,Casanova,https://open.spotify.com/album/0igR3TtSOtN4dCTFH9wA71,"Soolking, Lola Indigo, Rvfv","https://open.spotify.com/artist/0GgY7hjMoGDsX8ZDe2mwds, https://open.spotify.com/artist/3bvfu2KAve4lPHrhEFDZna, https://open.spotify.com/artist/2CCgb0KApjfQDuTppovpf8",2024-01-28,243806,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Catalan Society,https://open.spotify.com/track/5dW8Wj31UNYm42B2XXXfY1,Catalan Society,https://open.spotify.com/album/6fYFt0ILIOkoET1a8imbM9,"Mama Dousha, Scotty DK","https://open.spotify.com/artist/4jT1Pg2Ji7Zr2XnxrH1fsN, https://open.spotify.com/artist/0gOjPKtrlU8B7w11OkbYdo",2025-02-24,131733,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
COM ESTÀ EL PATI,https://open.spotify.com/track/3hHDpby70b29o2T9v26RNX,COM ESTÀ EL PATI,https://open.spotify.com/album/6KuUJeCMEAdYj8Lqaq4E2r,Oques Grasses,https://open.spotify.com/artist/5qPeAT4ikl6gJNUexAOEy0,2024-04-07,145161,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
COMENÇAR A VIURE,https://open.spotify.com/track/0Lh4c3QpwRP4a7DeybvhRN,COMENÇAR A VIURE,https://open.spotify.com/album/2xsNgctYHbxR23g8LV7MDp,Els Catarres,https://open.spotify.com/artist/0InCPtI0kadS7s3cZrcbbY,2024-05-12,166668,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
CONTIGO (with Tiësto),https://open.spotify.com/track/4UkUxO2WlKLc0Q1iEutGGh,CONTIGO (with Tiësto),https://open.spotify.com/album/2mKcYIgv7ItYDQXke3uprl,"KAROL G, Tiësto","https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla, https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z",2024-03-17,192786,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
COVARDS,https://open.spotify.com/track/0fRUIBnfBki2kS5S0Y8c11,COVARDS,https://open.spotify.com/album/3icg4CI1dzZd3AImqe3tc0,"La Fúmiga, The Tyets","https://open.spotify.com/artist/2Y4AiImxLUoWEgxedb3Gtz, https://open.spotify.com/artist/6I63R76ouyFvUIwPggQxxT",2024-02-25,189076,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Criminals,https://open.spotify.com/track/1gMFAi2auKTgHsYH7nIBhv,Timeless (Deluxe),https://open.spotify.com/album/7mePeoRszpMqgvTAc9uRY0,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2024-10-06,154504,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
