track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Chasing That Feeling,https://open.spotify.com/track/0ZPjVmof45INEERgYfadtv,The Name Chapter: FREEFALL,https://open.spotify.com/album/63fWdGyeBj8VDjvHSUROx3,TOMORROW X TOGETHER,https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB,2023-12-11,182670,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Cherish (My Love),https://open.spotify.com/track/2MoUuJhpSO4a0czxvsrSC6,I'LL LIKE YOU,https://open.spotify.com/album/7CBwpeVQ27cWwyEYjByVH1,ILLIT,https://open.spotify.com/artist/36cgvBn0aadzOijnjjwqMN,2024-11-12,176854,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Cheshire,https://open.spotify.com/track/7ixVW7RobslvMrvlzHYLha,CHESHIRE,https://open.spotify.com/album/2a1ezg7hE6Dyuymv1aCnkm,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-12-11,182453,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Chill Kill,https://open.spotify.com/track/68gQG2HpRMxIRom4pCugMq,Chill Kill - The 3rd Album,https://open.spotify.com/album/4UUICitfodUVCNhzmDFbrO,Red Velvet,https://open.spotify.com/artist/1z4g3DjTBBZKhvAroFlhOM,2023-12-11,214800,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Chk Chk Boom,https://open.spotify.com/track/09keT5ocFhEd5W5HidiUNq,ATE,https://open.spotify.com/album/3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,2024-07-24,148051,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Colors,https://open.spotify.com/track/4qeRAXlNZ03SYvoXJNs2v2,Colors,https://open.spotify.com/album/5URzZroiLUZhdMOwq6KsRk,NCT 127,https://open.spotify.com/artist/7f4ignuCJhLXfZ9giKT7rH,2024-06-11,193946,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Come back to me,https://open.spotify.com/track/1PT8hWQvl2gRO1JhDcSUqN,Come back to me,https://open.spotify.com/album/7ENUU3mZBPsGVLmwoj1Sk5,RM,https://open.spotify.com/artist/2auC28zjQyVTsiZKNgPRGs,2024-05-18,388960,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Cool With You,https://open.spotify.com/track/02wk5BttM0QL38ERjLPQJB,NewJeans 2nd EP 'Get Up',https://open.spotify.com/album/4N1fROq2oeyLGAlQ1C1j18,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-12-11,147880,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Cosmic,https://open.spotify.com/track/0kE4TRJ0pWoRKzKdtbx8To,Cosmic,https://open.spotify.com/album/5E8apoFsaUFhZxGGSju6aW,Red Velvet,https://open.spotify.com/artist/1z4g3DjTBBZKhvAroFlhOM,2024-07-12,225864,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
CRAZY,https://open.spotify.com/track/3AoEQRuFf8zVXWqSLo2UOi,CRAZY,https://open.spotify.com/album/538vEfAgLJ6g2I8ubuOlap,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,2024-09-24,164554,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Dangerous,https://open.spotify.com/track/0OaHZgVm77zLQNR3kwFf6n,19.99,https://open.spotify.com/album/4AvNQasUXJ4uHHmtypy6BF,BOYNEXTDOOR,https://open.spotify.com/artist/4hnHLgMSOiqERWBL4jINP1,2024-09-24,143773,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
DASH,https://open.spotify.com/track/2RoYgkPzUY0vY7lhUuyus1,Fe3O4: BREAK,https://open.spotify.com/album/5CCxLQgcI7cVwmgFDlicbP,NMIXX,https://open.spotify.com/artist/28ot3wh4oNmoFOdVajibBl,2024-03-05,166979,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Daydream,https://open.spotify.com/track/4lwTKer57RtonkWsEi2pVn,ROMANCE : UNTOLD -daydream-,https://open.spotify.com/album/380UbSJnNQ9SioALGRB0Cf,ENHYPEN,https://open.spotify.com/artist/5t5FqBwTcgKTaWmfEbwQY9,2024-11-12,120594,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Debut,https://open.spotify.com/track/58AZXyKRlsMBMcrRjpJpVG,Debut,https://open.spotify.com/album/7mGArRHjAYY0o8UYOAfRHf,KATSEYE,https://open.spotify.com/artist/3c0gDdb9lhnHGFtP4prQpn,2024-07-12,123281,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Deja Vu,https://open.spotify.com/track/3aAnwyBJY9OLNLqSgd4fZU,minisode 3: TOMORROW,https://open.spotify.com/album/0mDwrOXZHN1lgCNeBvkBbj,TOMORROW X TOGETHER,https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB,2024-04-08,171427,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Diamond,https://open.spotify.com/track/4SjL5rKPVxe2K2FnjluuVa,Diamond,https://open.spotify.com/album/5MM3zQXvFmpTBDe45rVida,TRI.BE,https://open.spotify.com/artist/6BgYuNomEs12UIrnxhWE9a,2024-02-23,183560,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Ditto,https://open.spotify.com/track/3r8RuvgbX9s7ammBn07D3W,Ditto,https://open.spotify.com/album/7bnqo1fdJU9nSfXQd3bSMe,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-12-11,185506,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
