track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Delilah (pull me out of this),https://open.spotify.com/track/5w9upngVRHNjdZcRC7Xxr2,Actual Life 3 (January 1 - September 9 2022),https://open.spotify.com/album/5q2iMctlDvEMYVIawF6Vop,"Fred again.., Delilah Montagu","https://open.spotify.com/artist/4oLeXFyACqeem2VImYeBFe, https://open.spotify.com/artist/3WtrH1zNpzoPSz6XpwCh6y",2023-06-12,250702,2023-11-24,cookin&#x27;,Aish
"Dil Ki Mez (From ""Merry Christmas"")",https://open.spotify.com/track/3J5MyBYgvaAIfCquTXrbyx,Merry Christmas (Original Motion Picture Soundtrack),https://open.spotify.com/album/6ta3Yg6C2BRudYedr3o5vr,"Pritam, Shalmali Kholgade, Varun Grover","https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU, https://open.spotify.com/artist/6uskWv5K2FA0YOAYr7JOUz, https://open.spotify.com/artist/23tDn4nvBiCQroeeCwwCWT",2024-04-17,217090,2023-11-24,cookin&#x27;,Aish
Drop The Game,https://open.spotify.com/track/06WnUZymWyJamDivTWqJZA,Lockjaw,https://open.spotify.com/album/4wngUMjPQwiOngxqKPuh5p,"Flume, Chet Faker","https://open.spotify.com/artist/6nxWCVXbOlEVRexSbLsTer, https://open.spotify.com/artist/6UcJxoeHWWWyT5HZP064om",2023-06-12,221894,2023-11-24,cookin&#x27;,Aish
Drops,https://open.spotify.com/track/5lctI6kFdwU558kS3CrdTX,"TheSoundYouNeed, Vol. 2",https://open.spotify.com/album/5JXtABcOTFkhFmfCTGBexs,"FKJ, Tom Bailey","https://open.spotify.com/artist/2FwDTncULUnmANIh7qKa5z, https://open.spotify.com/artist/2oazmaA42Jf78TZeTsUIDU",2023-06-11,241363,2023-11-24,cookin&#x27;,Aish
Easy Bake Easy Wake,https://open.spotify.com/track/37jlSwK5rjIOTvkzAeV21B,Easy Bake Easy Wake,https://open.spotify.com/album/7oPrvDPosF3XdPCnhTIM0I,The F16s,https://open.spotify.com/artist/5PVlXEAvlt6SfYpWBYTM4C,2023-06-11,303006,2023-11-24,cookin&#x27;,Aish
Electricity,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,Electricity,https://open.spotify.com/album/429B3se6xtZuvblNnS2iy7,"Silk City, Dua Lipa, Mark Ronson, Diplo","https://open.spotify.com/artist/2X97ZAqRKRMYFIDqtvGgGc, https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we, https://open.spotify.com/artist/3hv9jJF3adDNsBSIQDqcjp, https://open.spotify.com/artist/5fMUXHkw8R8eOP2RNVYEZX",2023-06-10,238173,2023-11-24,cookin&#x27;,Aish
En Mi Cuarto,https://open.spotify.com/track/6Ee34qCOE6FBzEPRAGwSrn,En Mi Cuarto,https://open.spotify.com/album/5Tb0I67ArZ6gI4tXJVIJ3h,"JHAYCO, Skrillex","https://open.spotify.com/artist/6nVcHLIgY5pE2YCl8ubca1, https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX",2023-06-10,196586,2023-11-24,cookin&#x27;,Aish
Envolver,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp,Versions of Me,https://open.spotify.com/album/2TPl41Riu1SDbHoxhCIo2D,Anitta,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb,2023-06-10,193805,2023-11-24,cookin&#x27;,Aish
Fast Car,https://open.spotify.com/track/2mCF8L0brIs88eH6Kf2h9p,Fast Car,https://open.spotify.com/album/55zQqrjWsFHRcI1mxlQSsZ,"Jonas Blue, Dakota","https://open.spotify.com/artist/1HBjj22wzbscIZ9sEb5dyf, https://open.spotify.com/artist/2zzpznMuhKlKlqh1ma7Sms",2024-05-10,212424,2023-11-24,cookin&#x27;,Aish
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",https://open.spotify.com/track/7840mcgnpkHeYU8jwMdq4n,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",https://open.spotify.com/album/6JyUvew61DDuKKkYVpwJoU,"Calvin Harris, Pharrell Williams, Katy Perry, Big Sean","https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY, https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8, https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X, https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh",2023-06-11,223413,2023-11-24,cookin&#x27;,Aish
Feels Like We Only Go Backwards,https://open.spotify.com/track/0LtOwyZoSNZKJWHqjzADpW,Lonerism,https://open.spotify.com/album/3C2MFZ2iHotUQOSBzdSvM7,Tame Impala,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,2023-06-11,192960,2023-11-24,cookin&#x27;,Aish
Fire for You,https://open.spotify.com/track/4o0LyB69tylqDG6eTGhmig,Shadows,https://open.spotify.com/album/0pMkbror5DyuBSl5yeUYTn,Cannons,https://open.spotify.com/artist/7FtCyCJCJaxabYO7Uyda5B,2024-05-21,231825,2023-11-24,cookin&#x27;,Aish
Firestone,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE,Cloud Nine,https://open.spotify.com/album/0uMIzWh1uEpHEBell4rlF8,"Kygo, Conrad Sewell","https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4, https://open.spotify.com/artist/1rw8ZTLnDHd74TWDDukjVi",2023-06-11,271640,2023-11-24,cookin&#x27;,Aish
Floated By,https://open.spotify.com/track/556jf0hyPQuLNHuNWo12I5,Bismillah,https://open.spotify.com/album/6gnNCtxxhwKTYGIDVqeMUd,Peter Cat Recording Co.,https://open.spotify.com/artist/41Nu7NgAj9rJxjj7JDuXrV,2023-06-11,256000,2023-11-24,cookin&#x27;,Aish
"For Aisha (Featured in ""The Sky Is Pink"")",https://open.spotify.com/track/6rfahvufEQDIVTHJIU2QQB,"For Aisha (Featured in ""The Sky Is Pink"")",https://open.spotify.com/album/5He2R0dw92kc4N9tg4v7zc,"MEMBA, EVAN GIIA, Nooran Sisters","https://open.spotify.com/artist/7nJNuftnqwrFGFs3ZRRe0u, https://open.spotify.com/artist/0D6BtvIkN3P9GHTa8KR24t, https://open.spotify.com/artist/2gFFvbbdzYzzWltI2HkZEV",2023-06-11,357931,2023-11-24,cookin&#x27;,Aish
Fresh Roses,https://open.spotify.com/track/05RmevbSKDvHHKpYBoXYfR,Fresh Roses,https://open.spotify.com/album/6DUbcDDJa547U0KvgjCthp,Juke Ross,https://open.spotify.com/artist/3mDo5Nv0SWpslJe9HzA2xY,2023-06-10,201093,2023-11-24,cookin&#x27;,Aish
Get It Together,https://open.spotify.com/track/7y6c07pgjZvtHI9kuMVqk1,More Life,https://open.spotify.com/album/1lXY618HWkwYKJWBRYR4MK,"Drake, Black Coffee, Jorja Smith","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4, https://open.spotify.com/artist/6wMr4zKPrrR0UVz08WtUWc, https://open.spotify.com/artist/1CoZyIx7UvdxT5c8UkMzHd",2023-06-12,250337,2023-11-24,cookin&#x27;,Aish
go with u - Louis La Roche Remix,https://open.spotify.com/track/5FxcDJENpjWY6lL9CnbHgc,Someone’s EP II X,https://open.spotify.com/album/6tUqkoCwuE4NffYRmMPVNR,"BAYNK, Louis La Roche","https://open.spotify.com/artist/28yVvEvA2lT3K5RNIhV1Dj, https://open.spotify.com/artist/0a03X57i18eG1yBzpmhZAs",2023-06-11,266289,2023-11-24,cookin&#x27;,Aish
god of the sunsets,https://open.spotify.com/track/5gOyjqIifZ9NqVcaIIlqv7,god of the sunsets,https://open.spotify.com/album/5ZrAjc3ME3ghkUikJiYrms,SEB,https://open.spotify.com/artist/7oPxPZSk7y5q0fhzpmX5Gi,2023-06-12,124705,2023-11-24,cookin&#x27;,Aish
Gold,https://open.spotify.com/track/1Ll09EiN5ffeFl1xNZB2Uk,Built on Glass,https://open.spotify.com/album/2lKbr47iZyXo44V4CEEUaK,Chet Faker,https://open.spotify.com/artist/6UcJxoeHWWWyT5HZP064om,2023-06-11,285255,2023-11-24,cookin&#x27;,Aish
Good Space,https://open.spotify.com/track/1fKIwgpXV5GdnUfeucROIO,Quest For Fire,https://open.spotify.com/album/7tWP3OG5dWphctKg4NMACt,"Skrillex, Starrah","https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX, https://open.spotify.com/artist/6DpWtzfwV8fcwP6fXckDVu",2023-06-10,132098,2023-11-24,cookin&#x27;,Aish
Grizzly Bear,https://open.spotify.com/track/0IJ1ijo3uoJzy6ZE5wxJio,Angus & Julia Stone (Deluxe),https://open.spotify.com/album/4DnMkBr1AH6IMP5wORp7Ag,Angus & Julia Stone,https://open.spotify.com/artist/4tvKz56Tr39bkhcQUTO0Xr,2024-05-25,248520,2023-11-24,cookin&#x27;,Aish
Heera,https://open.spotify.com/track/5VgoYN2PNwcRIbxCzmeri0,Bismillah,https://open.spotify.com/album/6gnNCtxxhwKTYGIDVqeMUd,Peter Cat Recording Co.,https://open.spotify.com/artist/41Nu7NgAj9rJxjj7JDuXrV,2023-06-10,379920,2023-11-24,cookin&#x27;,Aish
How Deep Is Your Love,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,https://open.spotify.com/album/3cG32DOXJoYlOHMmJIaQsm,"Calvin Harris, Disciples","https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY, https://open.spotify.com/artist/5EehXjjMktLuJmbRsM7YfB",2023-06-10,212640,2023-11-24,cookin&#x27;,Aish
I Feel It Coming,https://open.spotify.com/track/3dhjNA0jGA8vHBQ1VdD6vV,Starboy,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe,"The Weeknd, Daft Punk","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ, https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi",2023-06-11,269186,2023-11-24,cookin&#x27;,Aish
I Like The Way,https://open.spotify.com/track/2u8hD8iAJPboMIeJjjLOhk,I Like The Way,https://open.spotify.com/album/4eHSDzZUkSDnMJemlGtS66,"Moon Willis, Etta Bond","https://open.spotify.com/artist/4QsYLEjgSItbA6PI2i8xAU, https://open.spotify.com/artist/0zanHkxN0P38oWegA8iSQA",2023-06-10,185616,2023-11-24,cookin&#x27;,Aish
In For It,https://open.spotify.com/track/6ydWxkzjDktHsTzvWcaZ1i,In For It,https://open.spotify.com/album/1zNQyKjH8md6OusODwlmfs,"Tory Lanez, RL Grime","https://open.spotify.com/artist/2jku7tDXc6XoB6MO2hFuqg, https://open.spotify.com/artist/5eIbEEQnDM8yuDVB0bimSP",2023-06-11,293306,2023-11-24,cookin&#x27;,Aish
