track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Can't Deny It (feat. Nate Dogg),https://open.spotify.com/track/7K4Aq4awgYvDKEJdEvvl4j,Ghetto Fabolous,https://open.spotify.com/album/6hl66Nlqoeppdm0dRpYA02,"Fabolous, Nate Dogg","https://open.spotify.com/artist/0YWxKQj2Go9CGHCp77UOyy, https://open.spotify.com/artist/1Oa0bMld0A3u5OTYfMzp5h",2023-10-17,306440,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Candy Shop,https://open.spotify.com/track/5D2mYZuzcgjpchVY1pmTPh,The Massacre,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH,"50 Cent, Olivia","https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh, https://open.spotify.com/artist/5YBSzuCs7WaFKNr7Bky0Uf",2023-10-17,209106,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Case Of The Ex (Whatcha Gonna Do),https://open.spotify.com/track/1ak0S3NhwWrUgNlQhJ1412,Fear Of Flying,https://open.spotify.com/album/4LPScJnCr71D6oXB1MfQJ7,Mýa,https://open.spotify.com/artist/6lHL3ubAMgSasKjNqKb8HF,2023-10-17,236826,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Cleanin' Out My Closet,https://open.spotify.com/track/7BMO7O7ImjV8HNTH74Tshv,The Eminem Show,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,2024-05-07,297840,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Collard Greens,https://open.spotify.com/track/0zO8ctW0UiuOefR87OeJOZ,Oxymoron (Deluxe),https://open.spotify.com/album/7Et3bSTLLqdABO1qCxUplS,"ScHoolboy Q, Kendrick Lamar","https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m, https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg",2023-10-17,299960,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Conceited (There's Something About Remy),https://open.spotify.com/track/2OcBwebjQsdJy76zWvLQvn,There's Something About Remy-Based On A True Story (Explicit),https://open.spotify.com/album/3fsD8zvVTghKqePQ19oKLO,Remy Ma,https://open.spotify.com/artist/39mHYiNmLR7p8PXNG8Wll6,2023-10-17,219560,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Country Grammar (Hot Shit),https://open.spotify.com/track/3wMUvT6eIw2L5cZFG1yH9j,Country Grammar,https://open.spotify.com/album/5v7Icroz1sQsK2sQyLrWzE,Nelly,https://open.spotify.com/artist/2gBjLmx6zQnFGQJCAQpRgw,2023-10-17,287000,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Dangerous,https://open.spotify.com/track/4NOZ35Dhucr6UlVyLOtktd,Not 4 Sale,https://open.spotify.com/album/4mvT7q9PuuBWZcVyUnZP8e,"Kardinal Offishall, Akon","https://open.spotify.com/artist/5P2rwRBgIN450RaJxdjYdA, https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV",2023-10-17,246053,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Didn't Cha Know,https://open.spotify.com/track/7pv80uUHfocFqfTytu1MVi,Mama's Gun,https://open.spotify.com/album/3cADvHRdKniF9ELCn1zbGH,Erykah Badu,https://open.spotify.com/artist/7IfculRW2WXyzNQ8djX8WX,2024-07-17,238733,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Dip It Low,https://open.spotify.com/track/4L55p6txv9vuCWhpNnY6eY,Dip It Low,https://open.spotify.com/album/3iJxV52syDyKSOoS6aC3cE,Christina Milian,https://open.spotify.com/artist/4eAOcbAXIF4BmbN6E1QIlw,2023-10-17,201000,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
DNA.,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj,DAMN.,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY,Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2023-10-17,185946,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Down On Me,https://open.spotify.com/track/0x3TibRgnSqzkcwrqBd4iX,All About You,https://open.spotify.com/album/3sGj0fBj5EJbewKgCWA1uD,"Jeremih, 50 Cent","https://open.spotify.com/artist/3KV3p5EY4AvKxOlhGHORLg, https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh",2023-10-17,228453,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Drop It Like It's Hot,https://open.spotify.com/track/2NBQmPrOEEjA8VbeWOQGxO,R&G (Rhythm & Gangsta): The Masterpiece,https://open.spotify.com/album/797fkvAtk0iZvP1HHPCWbp,"Snoop Dogg, Pharrell Williams","https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG, https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8",2023-10-17,266066,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Empire State Of Mind,https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO,The Blueprint 3,https://open.spotify.com/album/2CUT0104gySOIvqwtXeFsX,"JAY-Z, Alicia Keys","https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB, https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa",2023-10-17,276920,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Encore,https://open.spotify.com/track/1GzNGrxi4NIOKu0Z4npUss,The Black Album,https://open.spotify.com/album/4FWvo9oS4gRgHtAwDwUjiO,JAY-Z,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,2023-10-17,250973,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Family Affair,https://open.spotify.com/track/3aw9iWUQ3VrPQltgwvN9Xu,No More Drama,https://open.spotify.com/album/5QJmKwPveBV4IwLlo4OcG4,Mary J. Blige,https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr,2023-10-17,265866,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Foolish,https://open.spotify.com/track/6zMUIb4uce1CzpbjR3vMdN,Ashanti,https://open.spotify.com/album/5M3BrdaT0TV5SsYsM5PM8X,Ashanti,https://open.spotify.com/artist/5rkVyNGXEgeUqKkB5ccK83,2023-10-17,227386,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Forgot About Dre,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa,2001,https://open.spotify.com/album/7q2B4M5EiBkqrlsNW8lB7N,"Dr. Dre, Eminem","https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7, https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR",2023-10-17,222293,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Frontin' (feat. JAY-Z) - Club Mix,https://open.spotify.com/track/0iFOG4Ki9aDmJUYUFHQlPG,The Neptunes Present... Clones,https://open.spotify.com/album/0AO5ibcO686oWXf96D83pM,"Pharrell Williams, JAY-Z","https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8, https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB",2024-07-17,236506,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Get It Shawty,https://open.spotify.com/track/2a03afRiyAbNAleOByVju4,Street Love,https://open.spotify.com/album/6Lq7nLkIq7C0zVJp0OGSGO,Lloyd,https://open.spotify.com/artist/1Xfmvd48oOhEWkscWyEbh9,2023-10-17,209533,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
