track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Adman,https://open.spotify.com/track/74APeQkjsmOmXgvcnD8ysS,Adman,https://open.spotify.com/album/0AiCaZUwTAmHzc5cXx44Tk,"Murtadha Adam, Mahmoud Abdel Karim","https://open.spotify.com/artist/6Tv9HObqiIBWKHhPkaIdt7, https://open.spotify.com/artist/31Oz4j5UvNbWvilTGEdoJa",2021-12-23,175960,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aerif Ealam,https://open.spotify.com/track/3lR76Thi8qiARWyR56fRqf,Aerif Ealam,https://open.spotify.com/album/6fEb4CMn6M8uqu9SxwFNi3,Ahmed Al Maslawi,https://open.spotify.com/artist/00VUV8R7oHc6FSLFyNmwFa,2022-06-07,192182,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ah Yani,https://open.spotify.com/track/0vMD3NFvruMSROWEhm8756,Ah Yani,https://open.spotify.com/album/2743kDzwDOEBBeTrSn6h5H,Saif Nabeel,https://open.spotify.com/artist/2i8aIAYY0wCKbFYWiihztK,2021-12-23,199342,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ahla Men El Gomar,https://open.spotify.com/track/0OuSDfEi7KNaHkZZbXZbQD,Ahla Men El Gomar,https://open.spotify.com/album/3ud7fRBI5oVZvKzkpkURQd,Ahmed Jawad,https://open.spotify.com/artist/4ZOVwS1XAGOXCKAqTFmsBP,2023-09-29,174440,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ahla Wahda,https://open.spotify.com/track/5dTweNePBwCMLISjd73xLN,Ahla Wahda,https://open.spotify.com/album/4TkCvhkbNT79l0Afii4phX,Saif Nabeel,https://open.spotify.com/artist/2i8aIAYY0wCKbFYWiihztK,2024-04-19,203999,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ahwak Ya Qamaran,https://open.spotify.com/track/1C9N2GXZzz53hTtDojUtTc,Ahwak Ya Qamaran,https://open.spotify.com/album/13DguvFOkmXuftPjqXeYO0,Mustafa Al Rabeii,https://open.spotify.com/artist/0jqaRKpjya9UYjDMK6Bg0j,2024-11-28,214153,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Akh Minh Kalbi,https://open.spotify.com/track/7COIIuYoJ9FiJymfwHepVA,Akh Minh Kalbi,https://open.spotify.com/album/0jLnrjSo3NZqhF168RzD9j,"Hamza Al Mahmdawi, Ahmed Kareem","https://open.spotify.com/artist/4fClSImakiSPnfxOa4NOiW, https://open.spotify.com/artist/11cbelfgXLsGBki28YqWsX",2021-12-23,186422,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Al Aalam - العالم,https://open.spotify.com/track/3eeuuyevY7qDLgkmXJ0jWQ,Al Aalam (العالم),https://open.spotify.com/album/0F3f3ckOIpBXnLHhX1tAbm,Ahmad Abdelsalam,https://open.spotify.com/artist/1QThzrcDgt4b9X8cUCqsbs,2023-09-29,188847,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Al Farasha,https://open.spotify.com/track/7MsVIDqNpBdHtDD5BmMZHL,Al Farasha,https://open.spotify.com/album/3Q8tXahgguSwK5uQYXZ7hF,Mahmoud Al Turky,https://open.spotify.com/artist/1GVRoyErxhZGdvmOKGO7W7,2022-09-30,191606,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Al Ghyab,https://open.spotify.com/track/1czSHzAKbN3ToYbOLlZBjb,Al Ghyab,https://open.spotify.com/album/57qvqoNwNlpi5DAg0g3FSE,Yasser Abd Alwahab,https://open.spotify.com/artist/6257KWddv5693NK51w7iXa,2023-09-29,280000,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Al Hob Ihtmam,https://open.spotify.com/track/7qj9jTyc59xB1JmhsFohA0,Al Hob Ihtmam,https://open.spotify.com/album/2q7wM4nFdJAGK2Yxv5pm9E,Adnan Braysem,https://open.spotify.com/artist/6tCa22NbsZWw3dmQF0Ac08,2022-02-11,183320,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Al Kaaen Al Khyali,https://open.spotify.com/track/0EMIL4R3HQyZkCnIw8DT07,Al Kaaen Al Khyali,https://open.spotify.com/album/2V5GC1ERTCwPPxcvkZEqHl,Waleed Al Shami,https://open.spotify.com/artist/05LLsyiJRSjBpe54u0jJRz,2022-05-13,157200,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Al Lahja - اللهجة,https://open.spotify.com/track/6YlUqBfdYjfAIOD56lqR26,Al Lahja (اللهجة),https://open.spotify.com/album/3V0G68ATxV8w7Zs5eOKEqi,Saif Amer,https://open.spotify.com/artist/748f0zL5X2KNapx8K93SUq,2022-06-30,158902,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Al Madhaher El Khedaa,https://open.spotify.com/track/6sEx7tKOa01e2PeRch1t3L,Al Madhaher El Khedaa,https://open.spotify.com/album/0RjlkoqoHd6tavBfjU3ee3,Haider Al Ghazal,https://open.spotify.com/artist/1g73ySoZbpQo3onMABWzy7,2021-12-23,161583,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Al Meezan,https://open.spotify.com/track/4uE2JnxPKpZhNsygER68ra,Al Meezan,https://open.spotify.com/album/7nBA7aPsL94jDDGY04JU8v,Ammar Al Koofe,https://open.spotify.com/artist/2TqftmUCwKW2DSrmWJ3vwC,2023-12-05,227989,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ala Almawthoe,https://open.spotify.com/track/3NfQNwOtvNQqP48xFKSegX,Ala Almawthoe,https://open.spotify.com/album/053pOViKjZOnMsG4fHhq7N,Jafar Al Ghazal,https://open.spotify.com/artist/33FJbhlNRNQIBQdlSF91sr,2022-03-14,121466,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ala Tary Al Awatef,https://open.spotify.com/track/0QzIZuiK93NdsMzR1L1mrj,Ala Tary Al Awatef,https://open.spotify.com/album/5gzN1IZvfYtbtJ1Pk7BGOF,Ahmed Al Maslawi,https://open.spotify.com/artist/00VUV8R7oHc6FSLFyNmwFa,2023-02-08,207333,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Alb Abyad,https://open.spotify.com/track/3KZVDZxoe4Yg5goKnIo7eI,Alb Abyad,https://open.spotify.com/album/6AaqiA3BXCczyl7CrLzHZs,Sattar Saad,https://open.spotify.com/artist/2XwGAWUjz9JYas4QTq0lQN,2022-06-10,220909,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aldniya Ensan - الدنيا انسان,https://open.spotify.com/track/2Md6cxHaMwtsnB37B4rZHu,Aldniya Ensan (الدنيا انسان),https://open.spotify.com/album/26R0thF36RaW86bcONy7KN,Jalal Al Zain,https://open.spotify.com/artist/2FJoZRKDb3AokC3SITAV8E,2023-06-20,269258,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Alhob Malik,https://open.spotify.com/track/3WgxnFv3nAsCdFaiRUdKbR,Alhob Malik,https://open.spotify.com/album/1isYU8e5FwVDnqgxF1Sx0o,Zaid Al Habeb,https://open.spotify.com/artist/1fIXYnOvlxESOGPL3l10YK,2023-01-26,214804,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Alhub Ibada,https://open.spotify.com/track/7qUeVqUrz1HIOfoMBnHUoC,Alhub Ibada,https://open.spotify.com/album/2zXWcsl5FBgJGVhd3BEOVI,Mustafa Al Rabeii,https://open.spotify.com/artist/0jqaRKpjya9UYjDMK6Bg0j,2023-03-24,113814,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aljawu Ahrkah,https://open.spotify.com/track/1QLpo1Uz5zqngmxQ3SrRYW,Aljawu Ahrkah,https://open.spotify.com/album/5li76rsSP17tyl7C2xAEGr,"Dumooa Tahseen, Abdullah Alhameem","https://open.spotify.com/artist/0453pwQTyMdU2a66fCFaUQ, https://open.spotify.com/artist/7tBqukCGsALuDvcw4yRfCZ",2023-05-02,169811,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Allah Honej,https://open.spotify.com/track/4NjgpqzC3K5e93GIXgOnk9,Allah Honej,https://open.spotify.com/album/4jjIGbKOJrpXMylxaDZDnw,Yasser Abd Alwahab,https://open.spotify.com/artist/6257KWddv5693NK51w7iXa,2022-12-22,216666,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Allah Shahid,https://open.spotify.com/track/2su3mVU3b25vzhHBYUX8CS,Allah Shahid,https://open.spotify.com/album/5oIMyoc9iYzGFemCMxoIcR,Meteb Alshalan,https://open.spotify.com/artist/7HRVFYJ71mBbcv8gA2qEjA,2022-02-11,259500,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Alqitar,https://open.spotify.com/track/22ENQINiZBUVm6j6VbnAqv,Alqitar,https://open.spotify.com/album/5oH5G4Sper19QXy0jY0UUB,Mustafa Al Rabeii,https://open.spotify.com/artist/0jqaRKpjya9UYjDMK6Bg0j,2022-01-27,248241,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
ALwafah Mabyuh,https://open.spotify.com/track/4CcOtcnO9bjRi0aYe5eLma,ALwafah Mabyuh,https://open.spotify.com/album/7IKXLVSmqAMxDFxedlska6,Mohamed Al Hamidawi,https://open.spotify.com/artist/6OvgZrJbBiYX75QFIYxSyq,2021-12-23,248033,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Alzilzal,https://open.spotify.com/track/6WHepKYFkgAdTFWmbhQ7r4,Alzilzal,https://open.spotify.com/album/24hrDafhOZ1PXwYzjhzmVe,Jafar Al Ghazal,https://open.spotify.com/artist/33FJbhlNRNQIBQdlSF91sr,2021-12-23,205840,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ana Aliraqia,https://open.spotify.com/track/2oAkR0lyM013o0Z9XLXh3k,Ana Aliraqia,https://open.spotify.com/album/3IE0sfMShYbUL8iuZnDxLG,Aseel Hameem,https://open.spotify.com/artist/10bqdRYq6Ha83UeU77iXAo,2022-03-18,234672,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ana Almumayaz,https://open.spotify.com/track/0IgZOwXy1eHCKEdSnZqeeB,Ana Almumayaz,https://open.spotify.com/album/5F4UqeZgtGS1hbhr19Y91K,Mustafa Al-Abdullah,https://open.spotify.com/artist/3hHA3JWJQfVAYx5lRTxSxu,2022-01-14,229761,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ana Astahel,https://open.spotify.com/track/0DQQIvNQ5YM1Ci6znjvRb9,Ana Astahel,https://open.spotify.com/album/21cNpmRbUJCv2ojUk3CmGn,Mohammad Assaf,https://open.spotify.com/artist/0IjIdnhlsKfAfOl5ph5TsE,2022-06-09,246510,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ana Bedonek,https://open.spotify.com/track/1D9h2XfySn0sRVlbyR1YGJ,Ana Bedonek,https://open.spotify.com/album/2OzInnyE7d9zhDechIBN2k,Jafar Al Ghazal,https://open.spotify.com/artist/33FJbhlNRNQIBQdlSF91sr,2023-06-26,212300,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ana El3efetkom,https://open.spotify.com/track/2kE3bM59u5PoRt0Eiv56Z7,Ana El3efetkom,https://open.spotify.com/album/1P4UprIAR5EC70frF77GII,Roro Harb,https://open.spotify.com/artist/6elTvTRNhLBk1crtgxGGhb,2021-12-23,188752,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Andak Elm,https://open.spotify.com/track/0niMxD9Me0S7Y3fxVKcFj4,Andak Elm,https://open.spotify.com/album/31lG70TfXr44Q4BQitfNIb,Hamza Al Mahmdawi,https://open.spotify.com/artist/4fClSImakiSPnfxOa4NOiW,2025-02-12,203280,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ani Alaqwa,https://open.spotify.com/track/3Cj7v2kZNOoqIEcOTcUT6c,Ani Alaqwa,https://open.spotify.com/album/5LNT6XOT8DoNIbEqqSGGgc,Rahma Riad,https://open.spotify.com/artist/1JrJQz0AlGYbLxBnOEWfLx,2022-02-09,177958,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ani Msafir,https://open.spotify.com/track/6pcaL6VQLGbpMmFQDXzWUb,Ani Msafir,https://open.spotify.com/album/0QusawiKu1PdGTfAgUHPr7,Zaid Al Habeb,https://open.spotify.com/artist/1fIXYnOvlxESOGPL3l10YK,2021-12-23,234352,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Anta Ma TArtaah,https://open.spotify.com/track/11nTzsYhrE7eu4nIP6C12R,Anta Ma TArtaah,https://open.spotify.com/album/0nZo9CQVD1dvXxrl27Y6Jc,Habeeb Ali,https://open.spotify.com/artist/7KArBbdJ0GLtkEM3LUv1Fj,2021-12-23,189560,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Anthena,https://open.spotify.com/track/6qgdwgLxnzZWkAlqAp40jY,Anthena,https://open.spotify.com/album/0c4Bl7iy3X26TdHLshIHZc,Zayed Al Saleh,https://open.spotify.com/artist/1l5hkQZj28djsCJWtN62wm,2022-05-13,257221,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Anti Awel Warda,https://open.spotify.com/track/57aiYKSUJwT9cJImesS6vz,Anti Awel Warda,https://open.spotify.com/album/0NPFVsXdyZYaBleWP8aT2n,Ahmed Al Maslawi,https://open.spotify.com/artist/00VUV8R7oHc6FSLFyNmwFa,2023-06-04,170000,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aqatel Aleik,https://open.spotify.com/track/728GAuaucK6fCGTO4WNlNW,Aqatel Aleik,https://open.spotify.com/album/4saD4MRfnhAtjUSMf3x49T,Saif Nabeel,https://open.spotify.com/artist/2i8aIAYY0wCKbFYWiihztK,2024-02-08,213151,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Arahen Bek,https://open.spotify.com/track/2CxAQ1mdOJLcYjriAucuTr,Arahen Bek,https://open.spotify.com/album/3JHnfBjf3BOkhL8QahUcVE,"Mohamed AlSalim, Ghassan Barsim","https://open.spotify.com/artist/5Zkp6UaHTafGRXROGj6W0S, https://open.spotify.com/artist/7DotftTLVBmBRACF8K1hK4",2021-12-23,240168,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ared Ahebk,https://open.spotify.com/track/086RaoiNdWZofaL01JOOfF,Ared Ahebk,https://open.spotify.com/album/0o4ycxV0Wnj3vUkpojMmMo,Kais Hisham,https://open.spotify.com/artist/5NoDkAWBJIHHBhq2iBtmcn,2022-05-02,202886,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Arfo Beh Ahebk,https://open.spotify.com/track/33htRNgoFDhdlRtiDj0Yp2,Arfo Beh Ahebk,https://open.spotify.com/album/5v7qhW0KPrcXbAGwTg99Nm,Ahmad AlKaisi,https://open.spotify.com/artist/2BySKMB8pGMBsjVd7AzcQa,2022-01-06,203920,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Argalak Kama Kont,https://open.spotify.com/track/2zmQqYm3VvOXtpom1g2N2g,Argalak Kama Kont,https://open.spotify.com/album/5u6ahHa7QC2LmKa3oOwHfE,Mohamed AlSalim,https://open.spotify.com/artist/5Zkp6UaHTafGRXROGj6W0S,2022-01-14,182449,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Asab Khabar,https://open.spotify.com/track/7aqTO66MftpsIrF3WbCesB,Asab Khabar,https://open.spotify.com/album/42g8gRlw4AnIfKwGjSUQsJ,Ahmad AlKaisi,https://open.spotify.com/artist/2BySKMB8pGMBsjVd7AzcQa,2021-12-23,192307,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Asdaq Qalb,https://open.spotify.com/track/1PY0cVBIeuB9y6Fr1eleYj,Asdaq Qalb,https://open.spotify.com/album/5kHuEateB3o8neLtr4Fn3r,Ibrahim Alghanim,https://open.spotify.com/artist/30qulT9lz1jtHktcIhbVId,2024-02-06,288494,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Asheq Majnoon,https://open.spotify.com/track/5orvt7dTDRMeAnP0xw5GEV,Asheq Majnoon,https://open.spotify.com/album/0NZnWtguxnWFzjx3GTJadc,Mahmoud Al Turky,https://open.spotify.com/artist/1GVRoyErxhZGdvmOKGO7W7,2023-04-26,221701,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Astahlik,https://open.spotify.com/track/2qCz9zvGLV479cUTzeXjNq,Astahlik,https://open.spotify.com/album/20vCcB2a5j1MSStibILx1n,Ahmed Burhan,https://open.spotify.com/artist/7pWG2cgMJbZmMd2a0TqZJ0,2022-02-17,243200,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Awal Marah,https://open.spotify.com/track/5xcZqcy77FOa8qL8AVLZfv,Awal Marah,https://open.spotify.com/album/67fv0fvX3nzAnBHCZJNqqa,Taif,https://open.spotify.com/artist/66XWRsuL9rNfq5CFoOCTLC,2022-06-28,244360,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Awal Wahed - أول واحد,https://open.spotify.com/track/3TRMyTLIbscI2U38QFU6FE,Awal Wahed (أول واحد),https://open.spotify.com/album/632lr49KgwwQXhV1dg6aeF,Adam,https://open.spotify.com/artist/2VXNaPH6tQXdoLbU3PrRVz,2022-06-21,229773,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Awel Chams,https://open.spotify.com/track/3DqaHwwxJ92RRjKrCyAA4q,Awel Chams,https://open.spotify.com/album/4v7PpdXPSkCyGnUA76Ofgu,Mahmood AlGhiath,https://open.spotify.com/artist/7L7OKjCuLFVhDc0tA0RmVi,2023-10-06,185052,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Ayami,https://open.spotify.com/track/1eO2xSR7xlI7U9CBX0zihi,Ayami,https://open.spotify.com/album/60yMGQG6qHN2S3omKeBsSF,Salah Hassan,https://open.spotify.com/artist/4XRv8YzpGjMqaUPJC0wpxP,2021-12-23,170004,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aybaah,https://open.spotify.com/track/469edw0cqHxQwF4ZpRNYYD,Aybaah,https://open.spotify.com/album/3Xr5fmb8FO0n4ABBYz7KhY,Dumooa Tahseen,https://open.spotify.com/artist/0453pwQTyMdU2a66fCFaUQ,2022-03-11,182186,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Azkorak Min Yeji Leil,https://open.spotify.com/track/2Hk9JgZRTBrLPYVLx2SJSP,Azkorak Min Yeji Leil,https://open.spotify.com/album/7KsCUVd8KnoUWMqJOs66S0,Hatem Al Iraqi,https://open.spotify.com/artist/0yLMdeDY9aaF6R5V8EO99D,2021-12-23,516806,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Baatrk Atnfas,https://open.spotify.com/track/2vKRNP5PHsHTa8deqEVLTe,Baatrk Atnfas,https://open.spotify.com/album/0q5kruQKz4fQDyXp1rqyHm,Raad And Methaq,https://open.spotify.com/artist/2TS6Y2HXkANqlIC7ZNi5zq,2022-11-15,192226,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Badeet Ataalem,https://open.spotify.com/track/6WZOR9YQ54pQnftACw8yki,Badeet Ataalem,https://open.spotify.com/album/3RLuEnHtsTWeQRIP8m9okh,Hossam Al Qaisi,https://open.spotify.com/artist/52OVGQP9OJKCwqfQdnF4lw,2022-06-13,234267,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Bajer Jay,https://open.spotify.com/track/6OF9M3Z93gZ0mVqWir9lCB,Bajer Jay (باجر جاي),https://open.spotify.com/album/4yDWJwk3R6LCSZvdENDUII,b0_3ateeej,https://open.spotify.com/artist/3u6nwCWGoZdg5fHJduQh0q,2022-06-09,224931,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Bakeni,https://open.spotify.com/track/5b0xHD3oaK3CfnMuiZzSAi,Bakeni,https://open.spotify.com/album/6pev4hGsRKRL86rTf4UTDx,Karar Salah,https://open.spotify.com/artist/7rIhO4AYbAaZlGQeMAAFg5,2021-12-23,178224,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Baqy,https://open.spotify.com/track/1Z0uOrpc5n6YfiJMEYryFz,Baqy,https://open.spotify.com/album/5kWR9AVsfRWJxenTGSTYqm,Mahfoud AlMaher,https://open.spotify.com/artist/4VYdwh1l1CyIp0T4LhOHNI,2022-05-20,222154,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Bas Anti 7Elwah,https://open.spotify.com/track/2VJDUOnPYZpSV2Yyin0sww,Bas Anti 7Elwah,https://open.spotify.com/album/13AdTKBzFuRDMWiGKlbMJw,"Yasser Abd Alwahab, Husam Al-Majed","https://open.spotify.com/artist/6257KWddv5693NK51w7iXa, https://open.spotify.com/artist/49n1zV0bM3vt9WnCcu2CPC",2023-12-26,153333,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Bas Hobak,https://open.spotify.com/track/1tfDBTvz8CoQe4l0qj95cI,Bas Hobak,https://open.spotify.com/album/6edrNF0WigIK3MY3PCsfe3,Sattar Saad,https://open.spotify.com/artist/2XwGAWUjz9JYas4QTq0lQN,2024-02-06,253203,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Batalt Aetebhom,https://open.spotify.com/track/6vOwgQuNb1LTfaT6sm4ePO,Batalt Aetebhom,https://open.spotify.com/album/6njjYy9ymLa3HufH4WYV1z,Aseel Hameem,https://open.spotify.com/artist/10bqdRYq6Ha83UeU77iXAo,2022-11-18,242301,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Bent Qalbak,https://open.spotify.com/track/35jlqZFszcA1otazUjkzXL,Bent Qalbak,https://open.spotify.com/album/0cPHtDdJjrWNFHIO4yJOMi,Mahmoud Al Turky,https://open.spotify.com/artist/1GVRoyErxhZGdvmOKGO7W7,2023-03-16,208483,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Bi Kobor Heznak Farhty,https://open.spotify.com/track/55snHuyVXL1X8j714WvR9d,Bi Kobor Heznak Farhty,https://open.spotify.com/album/6kiJlPgbF5wnLQ2gAzxoyt,Husam Al Rassam,https://open.spotify.com/artist/4WSDfufVR7neAAJngREPth,2022-02-25,168760,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
