track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Bon voyage,https://open.spotify.com/track/4X95Ecd1elHxTccGOko02c,Bon Voyage,https://open.spotify.com/album/2dFsfVOAwvmRV8hOBdssiI,YooA,https://open.spotify.com/artist/4ur1jCwyNlhgd0viJkOtcQ,2023-11-03,219586,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Brave,https://open.spotify.com/track/30g5E9MteFxeG9pDvRKJNl,Extraordinary Attorney Woo (Original Television SoundTrack) Pt. 1,https://open.spotify.com/album/1JNQlhazNG0N5gK1NoLAuK,Kim Jong Wan of NELL,https://open.spotify.com/artist/7ksQJtsXSRSrI5306UwIgH,2024-03-08,262143,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Can you stay,https://open.spotify.com/track/1u2WfYwwpnI9MnC9LolkRF,Can you stay (From Semantic Error),https://open.spotify.com/album/3gQtw0KG5524di5gAXGxrU,Coldin,https://open.spotify.com/artist/5yB6Lu343nFLxCVugcgxoG,2023-11-03,182266,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
CAPTAIN,https://open.spotify.com/track/3LqL83imidz1UIo4FR1Oke,PAGE,https://open.spotify.com/album/65UY7ED1QGhIlQ63pucq8g,Kang Seung Yoon,https://open.spotify.com/artist/2Ip3x4XtEEhlGg8qI146jL,2024-03-08,182031,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Cat's Nap zzZ (feat. Utopi),https://open.spotify.com/track/1lfmSCkroWDyBXJsdcRW3H,Cat's Nap zzZ,https://open.spotify.com/album/701D0tYv2uuOmTCVSKIkMD,"SBGB, Utopi","https://open.spotify.com/artist/0Xemods2DGcYQi3sqxtHBO, https://open.spotify.com/artist/3yK1E102HvCIcKPvcvtSul",2024-03-27,191375,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Celeb,https://open.spotify.com/track/3OLrkewJ2oQ1MQjUdEDfY5,PSY 9th,https://open.spotify.com/album/7hbSWdxliNs551GXtflIZB,PSY,https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh,2023-11-03,199766,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Ceremony,https://open.spotify.com/track/5YRxqekM8SPnLRaY4DClAf,Ceremony,https://open.spotify.com/album/4EbINVToIz4CpsXtyD8udE,OKDAL,https://open.spotify.com/artist/43qbEc59aqLydrvuWsrNoE,2024-03-27,212360,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
CHEEKY,https://open.spotify.com/track/55uzraCUFDtQGFqDaJUoUr,7+UP,https://open.spotify.com/album/4C6ab9EwBiR8Y5adO9o6bQ,EL7Z UP,https://open.spotify.com/artist/27xea8r2bsY7UlsbaRiwMQ,2023-11-03,174133,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Cheer Up,https://open.spotify.com/track/0rpe4sGRvVRLhGRcpsMhlk,RE: CORD,https://open.spotify.com/album/1Fq2NBoPpMl3izpHzwcW7L,THE ADE,https://open.spotify.com/artist/60ftnqC2sZGUXDqElMPvTy,2024-05-27,196459,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Cherry Pink,https://open.spotify.com/track/1v1BaddwAdO140TemWG1Yy,Cherry Pink,https://open.spotify.com/album/7y70AqYlhTBHeeUucSv8WX,KyoungSeo,https://open.spotify.com/artist/4rxWm4OrS8IRQ3YxDUwnJA,2024-05-27,197400,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Cinderella,https://open.spotify.com/track/44p0v6RpEcT0ozV5WSM0b3,Winter Special Digital Single Album ′Cinderella′,https://open.spotify.com/album/1qozj4ZBLq6zBeNyyWKle1,Seori,https://open.spotify.com/artist/2bWTIIQP9zaVc55RaMGu7e,2023-11-03,180320,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Color It,https://open.spotify.com/track/5kFDEZPQLyyt7bvaiqPyRc,Color It,https://open.spotify.com/album/5b4eIlmtGlTHfY6yPTjD75,MRCH,https://open.spotify.com/artist/4S0q5n7ZzNzeiW0dAUnYHl,2024-03-08,199149,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Come N Goes,https://open.spotify.com/track/0sFa0fKXoPn9yrNDYKqW4p,Querencia,https://open.spotify.com/album/3ZifpmJjOEkpYCNSIq352p,CHUNG HA,https://open.spotify.com/artist/2PSJ6YriU7JsFucxACpU7Y,2024-03-08,211880,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Could It Be,https://open.spotify.com/track/5EP0eADsE1wRAbnET9k5u8,Could It Be,https://open.spotify.com/album/5vxRsSVH24F86nh4vuQVOI,YUQI,https://open.spotify.com/artist/22aCD8IrQZjcPgZw728QT6,2024-05-27,189786,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Dive,https://open.spotify.com/track/0EQSTieN8qt9jMiqcVeCZB,"Mystic Pop-up Bar, Pt. 1 (Original Television Soundtrack)",https://open.spotify.com/album/4jQQorRPgLw24Xcw1POknI,Jung Jin Woo,https://open.spotify.com/artist/5uVgoepJHC3fbOohI5gXc4,2024-03-08,203786,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Dreaming,https://open.spotify.com/track/6krdrtQ0fDRwQ2AGNfcoxl,Love Story (4 Season Project 季) - The 4th Mini Album,https://open.spotify.com/album/4mn3WfpV1xpo65yxoCdSgy,KYUHYUN,https://open.spotify.com/artist/0il5ZP3xYOECtONJtZ38Ln,2024-03-27,245400,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
DREAMLIKE,https://open.spotify.com/track/6d3pjHp69A5RABSAJ7zqJH,BLOOM*IZ,https://open.spotify.com/album/5dm3PMCHxTSOdDFZ1hlfMm,IZ*ONE,https://open.spotify.com/artist/5r1tUTxVSgvBHnoDuDODPH,2023-11-03,226786,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
DREAMLIKE,https://open.spotify.com/track/4mBSGhDX6mvp96LJbJpmnq,DREAMLIKE,https://open.spotify.com/album/2Dlvu7PCAzAHwIswgD6soZ,PL,https://open.spotify.com/artist/3ZRrPmnB6ORWKeEJ8qawnP,2024-03-08,215786,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Fighting (Feat. Lee Young Ji),https://open.spotify.com/track/7eBpUuPnDTfbeP1P4P93CS,BSS 1st Single Album 'SECOND WIND',https://open.spotify.com/album/4dHtpne5cAAGgDYFNHu7jW,"BSS, Lee Young Ji","https://open.spotify.com/artist/1uAT5bTSp6dWbNmixIUP5t, https://open.spotify.com/artist/0Y2AcMPMpeuPXtPQGVvRBq",2023-11-03,204466,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Flash Forward,https://open.spotify.com/track/74cpuIw43kA8xPgbQEPdss,UNFORGIVEN,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,2024-03-15,195512,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
FLOWER SHOWER,https://open.spotify.com/track/7sjnURvuXBKEdM3fw698iq,FLOWER SHOWER,https://open.spotify.com/album/6WEd55Evvtz5ZTMogdK8Uu,HyunA,https://open.spotify.com/artist/3UwlejyX2b458azZ7eCnHb,2023-11-03,188373,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
flowerain,https://open.spotify.com/track/1p0cy7P5OdzZtVJOzhjfSF,flowerain,https://open.spotify.com/album/00h8cmaMZFSyKkPAJ4uvTJ,Yunsae,https://open.spotify.com/artist/7DLucR65sSvihkpKZcdymt,2024-03-27,177936,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Flu,https://open.spotify.com/track/2j0MsDAMJ2ahsxP3z86ChI,IU 5th Album 'LILAC',https://open.spotify.com/album/01dPJcwyht77brL4JQiR8R,IU,https://open.spotify.com/artist/3HqSLMAZ3g3d5poNaI7GOU,2023-11-03,188293,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Fly,https://open.spotify.com/track/0U4gMX1z7VAGvwPpjHjuq3,Misaeng (Incomplete Life) (Original Television Soundtrack),https://open.spotify.com/album/3q9p1oHZd4xHFjiywBFMul,Yi Sung Yol,https://open.spotify.com/artist/1uwchldM1ngqs8xCZg0DK9,2024-03-08,286213,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
"For you, my sunshine",https://open.spotify.com/track/54oF8FdfIWO7p5F878iCsS,"For you, my sunshine",https://open.spotify.com/album/3sHLvvjZeU64ialWeVXnOq,"Jukjae, Kwon Jin Ah","https://open.spotify.com/artist/7bWYN0sHvyH7yv1uefX07U, https://open.spotify.com/artist/0kRAVpQhUUArA8UnYwEdeZ",2024-03-08,226346,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
FREE SMILE,https://open.spotify.com/track/1TEv7OolmCRlF8TuZiNczt,Seoul Check-in OST Part 10,https://open.spotify.com/album/7oCrCB3pOE6zMjHLqnr1r9,"Lee Hyori, LEE CHANHYUK","https://open.spotify.com/artist/4FjoOJAndC0s9ZJUo6VGc5, https://open.spotify.com/artist/4RkTSLr5Qf79FfUkeaDKbl",2024-03-08,201266,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Girls,https://open.spotify.com/track/0jRA23cPBShrFIXPGfegQC,Seoul Check-in OST Part 1,https://open.spotify.com/album/1lQLjWafvbyoQ9XUmAZI2L,WENDY,https://open.spotify.com/artist/0FRUZvZNPzM3YJMABJxf2K,2024-03-08,276057,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Go,https://open.spotify.com/track/51W0tWQB56AvnLhIauJuSc,Record of Youth (Original Television Soundtrack) Pt. 1,https://open.spotify.com/album/6PCVAO4BRutldPc7WjbkLU,SEUNGKWAN,https://open.spotify.com/artist/0Vb2DjojEYsasFpc3aTZb6,2023-11-03,213453,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
gogobebe,https://open.spotify.com/track/6E7jAJN2e3znSHyPCdQqx8,White Wind,https://open.spotify.com/album/60m09rutmwj5ewOJoFIAVY,MAMAMOO,https://open.spotify.com/artist/0XATRDCYuuGhk0oE7C0o5G,2023-11-03,195855,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Good Night,https://open.spotify.com/track/4nuQczEO0ZmPW1cfKFS0Ap,Good Night,https://open.spotify.com/album/0ka0zzPgwRPNZmI68vqf5k,CHEEZE,https://open.spotify.com/artist/6NdzNrBP8Jbhzp6h7yojht,2024-03-27,258053,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Good Parts (when the quality is bad but I am),https://open.spotify.com/track/1sZBzYhrQG40zcSuKkI93c,ANTIFRAGILE,https://open.spotify.com/album/3u0ggfmK0vjuHMNdUbtaa9,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,2023-11-03,156354,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
