track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Finally Home,https://open.spotify.com/track/6nRxx2C8G12eMhPLAofIPa,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Gemp","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7aGBJiUws3qcoRhY2lUizy",2021-12-10,149669,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
First Light,https://open.spotify.com/track/6ebrCbjEknYLfcwmSwxI5m,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, goosetaf","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/46NCqFl8vhQZD77y7XkvJs",2021-12-10,143973,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
First Strike,https://open.spotify.com/track/5Oe3zWgdNC9Ra0YtQ2OueD,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, FIBRE","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/4TTEh9cj0iUXFJFBHsysF4",2022-07-14,199366,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Floral Cosmos,https://open.spotify.com/track/56Qvqjk0NfNpiXMUoWUcp4,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, Gemp","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7aGBJiUws3qcoRhY2lUizy",2021-12-10,132195,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Follow Me,https://open.spotify.com/track/2SDu2Qz1NBZ7Hms3rz7wrj,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, Hanz","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/1eL4DVwObeAZjGOVjASAXd",2021-12-10,178115,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Forest Lullaby,https://open.spotify.com/track/433YWmaPAA2IJ8aE7KTapV,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, BIDØ","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7HSBpX7fVOinHb9CNcL6Qe",2021-12-10,148145,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Forever,https://open.spotify.com/track/0R2KPhScxyAuujvokVHclb,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Miscél","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/5P8zM1rnE2owF1M5HzAuM5",2021-12-10,165937,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Fragments,https://open.spotify.com/track/4wvjuXfDRNc2ISDrw5j4gz,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, TANUKI","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/5n3X0T0RlvRxUR6l9dBwB8",2022-07-14,163300,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Funkgroove,https://open.spotify.com/track/01xlxOnaBdLxHrqdB15odC,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Sofasound","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/3pOOUcLNTiZ8nljgMJDXQ6",2021-12-10,175783,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Gamma Ray,https://open.spotify.com/track/5T4Dg96mUrKPjgFUckbDhn,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, Mere Notilde","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/2d3wstlwe427Q7CamLXlpO",2022-07-14,168362,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
