track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Deserve Me (with Summer Walker),https://open.spotify.com/track/0vQffWKfl0JyRqtdoZINEM,Red Moon In Venus,https://open.spotify.com/album/5OZ44LaqZbpP3m9B3oT8br,"Kali Uchis, Summer Walker","https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM, https://open.spotify.com/artist/57LYzLEk2LcFghVwuWbcuS",2023-03-06,265888,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
DFMU,https://open.spotify.com/track/1bdm32mVmoGcek5bVKxQKd,Heart On My Sleeve,https://open.spotify.com/album/6p5jJLTFiYgk95HhW0unhy,Ella Mai,https://open.spotify.com/artist/7HkdQ0gt53LP4zmHsL0nap,2022-09-24,197520,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Die For You,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz,Starboy,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,2023-01-30,260253,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Die For You - Sped Up,https://open.spotify.com/track/28vy7I63Gtqw90rvgxw8sU,Die For You,https://open.spotify.com/album/0YF085Qdh4HgdhZ8zjWkpo,"The Weeknd, xxtristanxo, Speed Radio","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ, https://open.spotify.com/artist/4kBCXTJBl1aY9pDHONsjfr, https://open.spotify.com/artist/1YzaVDzA3EdEipDSUeNQER",2023-02-27,223441,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
DO 4 LOVE,https://open.spotify.com/track/3FImu2LpSuH6gDHBuFgIbS,Spotify Singles,https://open.spotify.com/album/28wKxlJocWCrrxUgYC2zEQ,Snoh Aalegra,https://open.spotify.com/artist/1A9o3Ljt67pFZ89YtPPL5X,2022-06-09,189462,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Do You Like Me?,https://open.spotify.com/track/6q4yusLwjDYEcF6jXHdt7J,Do You Like Me?,https://open.spotify.com/album/1Jlpz65a64XDxwAVjufFUG,Daniel Caesar,https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA,2023-01-30,227663,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Don't Go Breaking My Heart,https://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5,Rock Of The Westies,https://open.spotify.com/album/4ObsEU7mIXbo2n9A31yfds,"Elton John, Kiki Dee","https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b, https://open.spotify.com/artist/4vjGlQWexbru6aOUCLTVir",2023-12-11,275440,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Don't Let The Good Life Pass You By,https://open.spotify.com/track/4Z2PtqWOBXJOgQ7UCLO3py,Mama's Big Ones,https://open.spotify.com/album/3x44BijmAfm1N7Cs7yILL4,Cass Elliot,https://open.spotify.com/artist/5jX7X3kRkfJTRqAdT7RcHk,2023-12-11,168640,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Don't Stop Movin',https://open.spotify.com/track/4dzreTCcGVgeF1vCcd22AC,Sunshine,https://open.spotify.com/album/4j6ruq2Htor6TsgbqEUhl0,S Club,https://open.spotify.com/artist/0HNGrIbq1ZNO2mTp3tMW4L,2023-12-11,233626,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Don't You Worry 'Bout A Thing,https://open.spotify.com/track/1QvWxgZvTU0w8rlPRE5Zrv,Innervisions,https://open.spotify.com/album/5jgI8Eminx9MmLBontDWq8,Stevie Wonder,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi,2023-12-11,284840,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Doubted Me,https://open.spotify.com/track/6XftCjHL05kJJYtPIk02FD,S2ML,https://open.spotify.com/album/1G51luYDLyckmDyBuntQdL,Kaash Paige,https://open.spotify.com/artist/0f2YkMXwFNJNSX7MymevKE,2022-11-20,154686,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
