track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
BATTLE NO.1 - DJ Myosuke Remix,https://open.spotify.com/track/6GmQvoKXG7uRQVxrRsn1De,BATTLE NO.1 (DJ Myosuke Remix),https://open.spotify.com/album/49y1Qzj95vTBgt7hgAUHdm,"TANO*C Sound Team, DJ Myosuke","https://open.spotify.com/artist/3eM3k7KOoNJAx0Nn8cY3e7, https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG",2023-04-15,160124,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
bEAutiE,https://open.spotify.com/track/6jNYcYcuQttKmvoIs7j8iO,The Best of Japanese Stream Hardcore,https://open.spotify.com/album/5uvGy8DZNQu6S3t03Zx614,kenta-v.ez.,https://open.spotify.com/artist/4cN1VW0tv2952s0ywPjQU6,2019-10-04,265080,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Behemoth - Extended Mix,https://open.spotify.com/track/5nCs0gcdakkdq3O8yvXK1A,EXTRA HARD [1],https://open.spotify.com/album/5iDOEO4O2l3GvqLeJ2mHoF,DJ Myosuke,https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG,2021-01-12,224192,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Behemoth [feat. Massive New Krew] - Massive New Krew Remix,https://open.spotify.com/track/2fKBqKFby88Ahz9mU2HxNE,EXTRA HARD [2],https://open.spotify.com/album/1AUjCJD5t7HxJwAhipbo9U,"DJ Myosuke, Massive New Krew","https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG, https://open.spotify.com/artist/1D3hV1Gke8LLRSn1aymglN",2021-01-12,182924,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Big Bang,https://open.spotify.com/track/2wyy6U3dSTVzimi9Dq3bx7,Big Bang,https://open.spotify.com/album/0Kgees7bnz3RChjNi4S0LR,Massive New Krew,https://open.spotify.com/artist/1D3hV1Gke8LLRSn1aymglN,2021-02-19,136500,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Bikkuri Extreme Chickencore,https://open.spotify.com/track/60iZtrOcyRm1SI6jxqyLmD,Bikkuri Extreme Chickencore,https://open.spotify.com/album/5njfY9AcGT7H4TU6CvXIK0,DJ Myosuke,https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG,2023-01-21,194475,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Bizarre Magician,https://open.spotify.com/track/1MgoJvJG4nUshR4XnP0now,HALLOWEEN IS CHAOS,https://open.spotify.com/album/1gJdi0jiZTaEk2idFDymBo,RoughSketch,https://open.spotify.com/artist/0lYM4mCc6IhbmfGYpeNCyO,2021-11-26,205316,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Black Altar,https://open.spotify.com/track/3nxknuaDAVIm9GJXz42eVs,Black Altar,https://open.spotify.com/album/5aMkiqcIQ5L5dTSDtUdHbA,Laur,https://open.spotify.com/artist/5fxJUmn4RTMzD0XPkTUpK3,2023-05-27,196312,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Black Despair (Official HARDGATE06 Anthem),https://open.spotify.com/track/7xKOXKm5p1I7x3tsG9Pd8i,HARDGATE ANTHEM COLLECTION,https://open.spotify.com/album/0c5VGsjNqAAXH5SyIIxmvB,"DJ Myosuke, Quark, dp","https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG, https://open.spotify.com/artist/0cgvFywwD5eQevYZed0hw7, https://open.spotify.com/artist/0wm9RjHf9Z8hVElYugxTJA",2020-07-06,286392,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Black Face,https://open.spotify.com/track/2CdtnfgJVElDFmF4JEqzy0,DiGiTAL GENERATiON,https://open.spotify.com/album/0ZRfQYOdlkm0r8J5uTMS4F,Thanatos,https://open.spotify.com/artist/6brszjSiaYQ4fWNWCS2yZn,2019-04-04,363693,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Black Territory,https://open.spotify.com/track/72xosUxQ0kHsXOcgmnhtZa,Black Territory,https://open.spotify.com/album/4cnjv9CFL0ACoS41ujPyl1,DJ Myosuke,https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG,2019-04-05,139464,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Black Territory - Extended Mix,https://open.spotify.com/track/3REh7FSadxNlHNKx27xm66,EXTRA HARD [1],https://open.spotify.com/album/5iDOEO4O2l3GvqLeJ2mHoF,DJ Myosuke,https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG,2021-01-12,216910,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Blaze Up,https://open.spotify.com/track/1rcpTcsxpI2tbl2ncH2A7z,SPEED BALL SUPER,https://open.spotify.com/album/1KUAAT1I2OgKPKOMh2sb4N,Noizenecio,https://open.spotify.com/artist/6nnVxZM26xhcsPxc0uEGuU,2019-02-03,234365,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Blood Drunker,https://open.spotify.com/track/3bCQBEpXwtFQ7yoVxkynOX,HALLOWEEN IS CHAOS,https://open.spotify.com/album/1gJdi0jiZTaEk2idFDymBo,"RoughSketch, DD Nakata Metal","https://open.spotify.com/artist/0lYM4mCc6IhbmfGYpeNCyO, https://open.spotify.com/artist/2ed3Sq2HasBVK38yxBxGBF",2021-11-26,259031,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Blowing Speakers,https://open.spotify.com/track/1cFv8zB7NKRw0s2PqJ43OP,Fade Into Oblivion,https://open.spotify.com/album/6w9Rv3VyxW1VpLPp7R3grs,"Noizenecio, Dischord","https://open.spotify.com/artist/6nnVxZM26xhcsPxc0uEGuU, https://open.spotify.com/artist/5Em1ub39trbmoJ4nRYM8vS",2020-04-07,227160,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Bomba Typhoon,https://open.spotify.com/track/52VSFCYNetVsUUMw4grRWY,Hyper Wave,https://open.spotify.com/album/5tLOzr2uS1qhzpidN7Ptrb,"Massive New Krew, Hommarju","https://open.spotify.com/artist/1D3hV1Gke8LLRSn1aymglN, https://open.spotify.com/artist/76V0LQ9DlR2N5tcn0ZworW",2019-02-25,315200,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Bookmaker,https://open.spotify.com/track/3tCci3fv4JcH6WDSpzDesG,Fionaredica,https://open.spotify.com/album/6XDzzIEnhUOhtLn6MTZWGm,Kobaryo,https://open.spotify.com/artist/1Y81Ch90opScfpMfN17lZb,2021-04-19,263351,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Brain Control,https://open.spotify.com/track/4Z1JKIoi0203j2QR6EzrMC,DEVIL'S NIGHTMARE,https://open.spotify.com/album/1WOKfBZWmMvQWTR9SOP47F,RoughSketch,https://open.spotify.com/artist/0lYM4mCc6IhbmfGYpeNCyO,2022-11-04,180000,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
