track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Carry You Home,https://open.spotify.com/track/700ZxeYb20T62xLzAeBGd4,1,https://open.spotify.com/album/65cv3nmpxcKiVLAkcVs3Tv,Zara Larsson,https://open.spotify.com/artist/1Xylc3o4UrD53lo9CvFvVg,2014-11-20,254528,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Chandelier,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC,1000 Forms Of Fear,https://open.spotify.com/album/3xFSl9lIRaYXIYkIn3OIl9,Sia,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,2014-11-20,216120,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Chilla lide,https://open.spotify.com/track/33UnthIRhXbB4gmkjl4H19,Garalaowit,https://open.spotify.com/album/1yEJRvVMeJD40BXtIUl0Me,"Labyrint, Amsie Brown","https://open.spotify.com/artist/5s77Nldm0GrOQkMIElogdo, https://open.spotify.com/artist/0mSD97JUcoK5g6PNFDnUdu",2014-11-20,258680,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Classic,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg,MKTO,https://open.spotify.com/album/5IenxFp0vpnXBUxPcwJtbE,MKTO,https://open.spotify.com/artist/2l35CQqtYRh3d8ZIiBep4v,2014-11-20,175426,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Counting Stars,https://open.spotify.com/track/519uJbE3zyKLlToVA65PrP,Native (Deluxe),https://open.spotify.com/album/24REY1t8dFi2VXi6oUVO8j,OneRepublic,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,2014-11-20,257266,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Dark Horse,https://open.spotify.com/track/4kgsK0fftHtg9gZOzkU5T2,PRISM (Deluxe),https://open.spotify.com/album/4lFDt4sVpCni9DRHRmDjgG,"Katy Perry, Juicy J","https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X, https://open.spotify.com/artist/5gCRApTajqwbnHHPbr2Fpi",2014-11-20,215672,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Demons,https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e,Night Visions (Deluxe),https://open.spotify.com/album/1vAEF8F0HoRFGiYOEeJXHW,Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,2014-11-20,175200,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Det kommer aldrig va över för mig,https://open.spotify.com/track/3SjXx3rbNGk8nCho8YEoz5,Det kommer aldrig va över för mig,https://open.spotify.com/album/4y7g9dQcKkmBBNtMYhHxQs,Håkan Hellström,https://open.spotify.com/artist/3H7Ez7cwaYw4L3ELy4v3Lc,2014-11-20,267106,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Din soldat,https://open.spotify.com/track/3zdv56EdfZi0ydbAZqbQ3M,Din soldat,https://open.spotify.com/album/1x6BpFDVmdYz5khNmg2Ams,"Albin, Kristin Amparo","https://open.spotify.com/artist/77Zs8Uju3mzpON0QjsTiT7, https://open.spotify.com/artist/2vxWDuk2inw00eo3Hag2QR",2014-11-20,199133,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Do It Again,https://open.spotify.com/track/44eQkbofZeY7rEPnPdobwa,Do It Again,https://open.spotify.com/album/5rgGVO0mjqDYsHQnD4XkJV,"Röyksopp, Robyn","https://open.spotify.com/artist/5nPOO9iTcrs9k6yFffPxjH, https://open.spotify.com/artist/6UE7nl9mha6s8z0wFQFIZ2",2014-11-20,306323,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
